&	e comercial
▣	quadrado vazio com quadrado preenchido
▤	quadrado com linhas horizontais
▥	quadrado com linhas verticais
▦	quadrado com linhas cruzadas ortogonais
▧	quadrado com linhas do canto superior esquerdo para o canto inferior direito
▨	quadrado com linhas do canto superior direito para o canto inferior esquerdo
▩	quadrado com linhas cruzadas diagonais
▪	quadrado preto pequeno
▫	quadrado branco pequeno
▬	retângulo preenchido
▭	retângulo vazio
▮	retângulo vertical preenchido
▰	paralelogramo preenchido
▲	triângulo preenchido apontando para cima
△	triângulo vazio apontando para cima
▴	triângulo pequeno preenchido apontando para cima
▵	triângulo pequeno vazio apontando para cima
▶	botão reproduzir
▷	triângulo vazio apontando para a direita
▸	triângulo pequeno preenchido apontando para a direita
▹	triângulo pequeno vazio apontando para a direita
►	ponteiro preenchido apontando para a direita
▻	ponteiro vazio apontando para a direita
▼	triângulo preenchido apontando para baixo
▽	triângulo vazio apontando para baixo
▾	triângulo pequeno preenchido apontando para baixo
▿	triângulo pequeno vazio apontando para baixo
◀	botão de voltar
◁	triângulo vazio apontando para a esquerda
◂	triângulo pequeno preenchido apontando para a esquerda
◃	triângulo pequeno vazio apontando para a esquerda
◄	ponteiro preenchido apontando para a esquerda
◅	ponteiro vazio apontando para a esquerda
◆	losango preenchido
◇	losango vazio
◈	losango vazio com losango preenchido
◉	círculo vazio com círculo preenchido
◊	losango
○	círculo vazio
◌	círculo pontilhado
◍	círculo com linhas verticais
◎	círculos concêntricos
●	círculo preenchido
◐	círculo com a metade esquerda preenchida
◑	círculo com a metade direita preenchida
◒	círculo com a metade inferior preenchida
◓	círculo com a metade superior preenchida
◔	círculo com quadrante superior direito preenchido
◕	círculo preenchido exceto o quadrante superior esquerdo
◖	metade esquerda do círculo preenchida
◗	metade direita do círculo preenchida
◘	marcador invertido
◙	quadrado preenchido com círculo vazio
◜	quarto de círculo superior esquerdo
◝	quarto de círculo superior direito
◞	quarto de círculo inferior direito
◟	quarto de círculo inferior esquerdo
◠	meio círculo superior
◡	meio círculo inferior
◢	triângulo inferior direito preenchido
◣	triângulo inferior esquerdo preenchido
◤	triângulo superior esquerdo preenchido
◥	triângulo superior direito preenchido
◦	marcador vazio
◯	círculo vazio grande
◳	quadrado vazio com quadrante superior direito
◷	círculo vazio com quadrante superior direito
◻	quadrado branco médio
◼	quadrado preto médio
◽	quadrado branco médio menor
◾	quadrado preto médio menor
◿	triângulo inferior direito
☀	sol
☁	nuvem
☂	sombrinha aberta
☃	boneco de neve na neve
☄	cometa
☎	telefone no gancho
☑	caixa de seleção marcada com tique
☔	sombrinha na chuva
☕	café
☘	trevo
☝	indicador apontando para cima
☠	caveira e ossos cruzados
☢	radioativo
☣	risco biológico
☦	cruz ortodoxa
☪	estrela e lua crescente
☮	símbolo da paz
☯	yin yang
☸	roda do Dharma
☹	rosto franzido
☺	rosto sorridente
♀	símbolo de feminino
♂	símbolo de masculino
♈	signo de Áries
♉	signo de Touro
♊	signo de Gêmeos
♋	signo de Câncer
♌	signo de Leão
♍	signo de Virgem
♎	signo de Libra
♏	signo de Escorpião
♐	signo de Sagitário
♑	signo de Capricórnio
♒	signo de Aquário
♓	signo de Peixes
♟	peão de xadrez
♠	naipe de espadas
♣	naipe de paus
♥	naipe de copas
♦	naipe de ouros
♨	chamas
♪	colcheia
♭	bemol
♯	sustenido
♻	símbolo de reciclagem
♾	infinito
♿	símbolo de cadeira de rodas
⚒	martelo e picareta
⚓	âncora
⚔	espadas cruzadas
⚕	símbolo da medicina
⚖	balança
⚗	alambique
⚙	engrenagem
⚛	símbolo de átomo
⚜	flor-de-lis
⚠	aviso
⚡	alta tensão
⚧	símbolo transgênero
⚪	círculo branco
⚫	círculo preto
⚰	caixão
⚱	urna funerária
⚽	bola de futebol
⚾	bola de beisebol
⛄	boneco de neve
⛅	sol por trás das nuvens
⛈	chuva com trovão
⛎	signo de Ofiúco
⛏	picareta
⛑	capacete com cruz branca
⛓	correntes
⛔	entrada proibida
⛩	santuário japonês
⛪	igreja
⛰	montanha
⛱	guarda-sol
⛲	fonte
⛳	bandeira no buraco
⛴	balsa
⛵	barco a vela
⛷	esquiador
⛸	patins de gelo
⛹	jogador de basquete
⛺	barraca
⛽	posto de gasolina
✂	tesoura
✅	marca de seleção branca
✈	avião
✉	envelope
✊	punho levantado
✋	mão levantada
✌	mão em V de vitória
✍	escrevendo à mão
✏	lápis
✒	ponta de caneta tinteiro
✔	marca de seleção
✖	x de multiplicação
✝	cruz latina
✡	estrela de Davi
✨	brilhos
✳	asterisco de oito pontas
✴	estrela de oito pontas
❄	floco de neve
❇	faísca
❌	xis
❎	botão de xis
❓	ponto de interrogação
❔	ponto de interrogação branco
❕	ponto de exclamação branco
❗	ponto de exclamação
❣	exclamação de coração
❤	coração vermelho
➕	símbolo de adição
➖	símbolo de subtração
➗	símbolo de divisão
➡	seta para a direita
➰	laço encaracolado
➿	loop encaracolado duas vezes
⤴	seta para a direita curvada para cima
⤵	seta para a direita curvada para baixo
⨧	mais com dois subscrito
⨯	produto vetorial
⨼	produto interior
⩣	ou lógico com duas barras subscritas
⩽	menor que ou igual inclinado
⪍	menor que acima de similar ou igual
⪚	igual de duas linhas ou maior que
⪺	sucede acima de não quase igual
⬅	seta para a esquerda
⬆	seta para cima
⬇	seta para baixo
⬛	quadrado preto grande
⬜	quadrado branco grande
⭐	estrela branca média
⭕	círculo grande pesado
〰	travessão ondulado
〽	sinal japonês indicando início de música
㊗	ideográfico circular parabéns”
㊙	ideográfico circular segredo”
﷼	rial
🅰	botão A (tipo sanguíneo)
🅱	botão B (tipo sanguíneo)
🅾	botão O (tipo sanguíneo)
🅿	botão P
🆎	botão AB (tipo sanguíneo)
🆑	botão CL
🆒	botão COOL
🆓	botão FREE
🆔	botão ID
🆕	botão NEW
🆖	botão NG
🆗	botão OK
🆘	botão SOS
🆙	botão UP!
🆚	botão VS
🇨🇶	bandeira de Sark
🈁	botão japonês de aqui”
🈂	letra sa” em katakana
🈚	ideograma quadrado não possuir
🈯	ideograma quadrado dedo”
🈲	ideograma quadrado proibido
🈳	ideograma quadrado vaga
🈴	ideograma quadrado acordo
🈵	ideograma quadrado completo
🈶	ideograma quadrado possuir
🈷	ideográfico quadrado lua”
🈸	ideograma quadrado aplicar”
🈹	ideograma quadrado desconto
🈺	ideograma quadrado trabalho
🉐	ideograma circular vantagem”
🉑	ideograma circular aceitar”
🀄	Peça de Mahjong
🃏	Carta curinga
🌀	ciclone
🌁	enevoado
🌂	guarda-chuva
🌃	noite estrelada
🌄	aurora sobre montanhas
🌅	aurora sobre água
🌆	cidade ao anoitecer
🌇	pôr do sol
🌈	arco-íris
🌉	ponte da noite
🌊	onda
🌋	vulcão
🌌	céu estrelado
🌍	globo mostrando Europa e África
🌎	globo mostrando as Américas
🌏	globo mostrando Ásia e Oceania
🌐	globo com meridianos
🌑	lua nova
🌒	lua crescente côncava
🌓	quarto crescente
🌔	lua crescente convexa
🌕	lua cheia
🌖	lua minguante convexa
🌗	quarto minguante
🌘	lua minguante côncava
🌙	lua
🌚	rosto da lua nova
🌛	rosto da lua de quarto crescente
🌜	rosto da lua de quarto minguante
🌝	rosto da lua cheia
🌞	rosto do sol
🌟	estrela brilhante
🌠	estrela cadente
🌡	termômetro
🌤	sol com nuvens
🌥	nublado
🌦	sol com chuva
🌧	nuvem com chuva
🌨	nuvem com neve
🌩	nuvem com trovão
🌪	tornado
🌫	neblina
🌬	rosto de vento
🌭	cachorro-quente
🌮	taco
🌯	burrito
🌰	castanha
🌱	planta jovem
🌲	árvore de pinheiro
🌳	árvore caidiça
🌴	árvore de palmeira
🌵	cacto
🌶	pimenta
🌷	tulipa
🌸	flor de cerejeira
🌹	rosa
🌺	hibisco
🌻	girassol
🌼	florescer
🌽	milho
🌾	planta do arroz
🌿	erva
🍀	trevo de quatro folhas
🍁	folha de bordo
🍂	folhas caídas
🍃	folha ao vento
🍄	cogumelo
🍅	tomate
🍆	berinjela
🍇	uvas
🍈	melão
🍉	melancia
🍊	tangerina
🍋	limão
🍌	banana
🍍	abacaxi
🍎	maçã vermelha
🍏	maçã verde
🍐	pera
🍑	pêssego
🍒	cereja
🍓	morango
🍔	hambúrguer
🍕	fatia de pizza
🍖	carne
🍗	coxa de frango
🍘	biscoito de arroz
🍙	bolinho de arroz
🍚	arroz cozido
🍛	curry e arroz
🍜	lámen
🍝	espaguete
🍞	pão
🍟	batata frita
🍠	batata assada
🍡	mochi
🍢	oden
🍣	sushi
🍤	camarão frito
🍥	bolinho de peixe
🍦	sorvete italiano
🍧	raspadinha de gelo
🍨	sorvete
🍩	donut
🍪	bolacha
🍫	chocolate
🍬	doce
🍭	pirulito
🍮	pudim de ovos
🍯	pote de mel
🍰	bolo recheado
🍱	bentô
🍲	ensopado
🍳	frigideira
🍴	garfo e faca
🍵	xícara
🍶	saquê
🍷	vinho
🍸	coquetel
🍹	bebida tropical
🍺	cerveja
🍻	canecas de cerveja
🍼	mamadeira
🍽	prato com talheres
🍾	espumante estourando
🍿	pipoca
🎀	fita
🎁	presente
🎂	bolo de aniversário
🎃	abóbora de halloween
🎄	árvore de natal
🎅	noel
🎆	fogos de artifício
🎇	vela estrela
🎈	balão
🎉	cone de festa
🎊	confete
🎋	árvore e tiras de papel
🎌	bandeiras cruzadas
🎍	decoração de pinhas
🎎	bonecas
🎏	bandeira de carpas
🎐	carrilhão de vento
🎑	contemplação da lua
🎒	mochila escolar
🎓	chapéu de formatura
🎖	medalha militar
🎗	fita de lembrete
🎙	microfone de estúdio
🎚	controle de volume
🎛	botões giratórios
🎞	rolo de filmes
🎟	ingresso de cinema
🎠	carrossel
🎡	roda gigante
🎢	montanha russa
🎣	pesca
🎤	microfone
🎥	câmera de cinema
🎦	cinema
🎧	fones de ouvido
🎨	paleta de tintas
🎩	cartola
🎪	circo
🎫	ingresso
🎬	claquete
🎭	máscara
🎮	video game
🎯	na mosca
🎰	caça-níquel
🎱	bilhar
🎲	jogo de dado
🎳	boliche
🎴	carta de baralho
🎵	nota musical
🎶	notas musicais
🎷	saxofone
🎸	guitarra
🎹	teclado musical
🎺	trompete
🎻	violino
🎼	partitura musical
🎽	camiseta de corrida
🎾	tênis
🎿	esqui
🏀	bola de basquete
🏁	bandeira quadriculada
🏂	praticante de snowboard
🏃	maratonista
🏄	surf
🏅	medalha esportiva
🏆	troféu
🏇	corrida de cavalos
🏈	bola de futebol americano
🏉	bola de rugby
🏊	nadador
🏋	levantador de peso
🏌	jogador de golfe
🏍	motocicleta
🏎	carro de corrida
🏏	críquete
🏐	bola de vôlei
🏑	hóquei de campo
🏒	hóquei no gelo
🏓	pingue-pongue
🏔	montanha com neve
🏕	acampamento
🏖	praia e guarda-sol
🏗	construção
🏘	casas
🏙	cidade
🏚	casa abandonada
🏛	prédio grego
🏜	deserto
🏝	ilha deserta
🏞	parque com rio
🏟	estádio
🏠	casa
🏡	lar
🏢	edifício comercial
🏣	correio japonês
🏤	correio
🏥	hospital
🏦	banco
🏧	símbolo de caixa automático
🏨	hotel
🏩	motel
🏪	loja de conveniência
🏫	escola
🏬	loja de departamentos
🏭	fábrica
🏮	lanterna vermelha de papel
🏯	castelo japonês
🏰	castelo europeu
🏳	bandeira branca
🏴	bandeira preta
🏵	flor amarela
🏷	etiqueta
🏸	badminton
🏹	arco e flecha
🏺	vaso chinês
🏻	pele clara
🏼	pele morena clara
🏽	pele morena
🏾	pele morena escura
🏿	pele escura
🐀	rato
🐁	camundongo
🐂	boi
🐃	búfalo-asiático
🐄	vaca
🐅	tigre
🐆	leopardo
🐇	coelho
🐈	gato
🐉	dragão
🐊	crocodilo
🐋	baleia
🐌	caracol
🐍	cobra
🐎	cavalo
🐏	carneiro
🐐	cabra
🐑	ovelha
🐒	macaco
🐓	galo
🐔	galinha
🐕	cachorro
🐖	porco
🐗	javali
🐘	elefante
🐙	polvo
🐚	concha
🐛	inseto
🐜	formiga
🐝	abelha de mel
🐞	joaninha
🐟	peixe
🐠	peixe tropical
🐡	baiacu
🐢	tartaruga
🐣	pintinho chocando
🐤	rosto de pintinho
🐥	pintinho
🐦	pássaro
🐧	pinguim
🐨	coala
🐩	poodle
🐪	camelo de uma só corcova
🐫	camelo com duas corcovas
🐬	golfinho
🐭	rosto de camundongo
🐮	rosto de vaca
🐯	rosto de tigre
🐰	rosto de coelho
🐱	rosto de gato
🐲	rosto de dragão
🐳	baleia esguichando água
🐴	rosto de cavalo
🐵	rosto de macaco
🐶	rosto de cachorro
🐷	rosto de porco
🐸	rosto de sapo
🐹	rosto de hamster
🐺	rosto de lobo
🐻	rosto de urso
🐼	rosto de panda
🐽	nariz de porco
🐾	pata
🐿	esquilo
👀	olhos
👁	olho
👂	orelha
👃	nariz
👄	boca
👅	língua
👆	dorso da mão com dedo indicador apontando para cima
👇	dorso da mão com dedo indicador apontando para baixo
👈	dorso da mão com dedo indicador apontando para a esquerda
👉	dorso da mão com dedo indicador apontando para a direita
👊	soco
👋	mão acenando
👌	sinal de ok
👍	polegar para cima
👎	polegar para baixo
👏	mãos aplaudindo
👐	mãos abertas
👑	coroa
👒	chapéu feminino
👓	óculos
👔	gravata
👕	camiseta
👖	calça
👗	vestido
👘	quimono
👙	biquíni
👚	roupas femininas
👛	bolsinha
👜	bolsa de mão
👝	bolsa pequena
👞	sapato masculino
👟	tênis de corrida
👠	sapato de salto alto
👡	sandália feminina
👢	bota feminina
👣	pegadas
👤	silhueta de busto
👥	silhueta de bustos
👦	menino
👧	menina
👨	homem
👩	mulher
👪	família
👫	homem e mulher de mãos dadas
👬	dois homens de mãos dadas
👭	duas mulheres de mão dadas
👮	policial
👯	coelhinhas
👰	noiva
👱	pessoa loira
👲	homem de boné
👳	pessoa vestindo turbante
👴	homem idoso
👵	idosa
👶	bebê
👷	trabalhador de construção civil
👸	princesa
👹	ogro
👺	duende japonês
👻	fantasma
👼	bebê anjo
👽	alienígena
👾	monstro alienígena
👿	rosto zangado com chifres
💀	caveira
💁	recepção
💂	guarda
💃	bailarina
💄	batom
💅	esmalte de unha
💆	massagem facial
💇	corte de cabelo
💈	barbearia
💉	seringa
💊	comprimido
💋	marca de beijo
💌	carta de amor
💍	anel
💎	pedra preciosa
💏	beijo
💐	buquê
💑	casal apaixonado
💒	capela de casamento
💓	coração pulsante
💔	coração partido
💕	dois corações
💖	coração brilhante
💗	coração crescendo
💘	coração com flecha
💙	coração azul
💚	coração verde
💛	coração amarelo
💜	coração roxo
💝	coração com fita
💞	corações girando
💟	coração decorativo
💠	diamante com um ponto
💡	lâmpada
💢	símbolo de raiva
💣	bomba
💤	zzz
💥	colisão
💦	pingos de suor
💧	gota de suor
💨	rapidez
💩	cocô
💪	bíceps
💫	zonzo
💬	balão de diálogo
💭	balão de pensamento
💮	carimbo de flor
💯	cem pontos
💰	saco de dinheiro
💱	câmbio de moeda
💲	cifrão
💳	cartão de crédito
💴	nota de iene
💵	nota de dólar
💶	nota de euro
💷	nota de libra
💸	dinheiro voando
💹	gráfico subindo com iene
💺	assento
💻	laptop
💼	maleta
💽	minidisc
💾	disquete
💿	cd
📀	DVD
📁	pasta de arquivos
📂	pasta de arquivos aberta
📃	página dobrada
📄	página voltada para cima
📅	calendário
📆	calendário com folhas destacáveis
📇	índice de cartões
📈	gráfico subindo
📉	gráfico caindo
📊	gráfico de barras
📋	prancheta
📌	tacha
📍	tacha redonda
📎	clipe de papel
📏	régua reta
📐	régua triangular
📑	marcadores de página
📒	livro contábil
📓	caderno
📔	caderno decorado
📕	livro fechado
📖	livro aberto
📗	livro verde
📘	livro azul
📙	livro laranja
📚	livros
📛	crachá
📜	pergaminho
📝	memorando
📞	telefone
📟	pager
📠	fax
📡	antena parabólica
📢	buzina
📣	megafone
📤	bandeja de saída
📥	bandeja de entrada
📦	pacote
📧	e-mail
📨	envelope chegando
📩	envelope com seta
📪	caixa de correio fechada com bandeira abaixada
📫	caixa de correio fechada com bandeira levantada
📬	caixa de correio aberta com bandeira levantada
📭	caixa de correio aberta com bandeira abaixada
📮	caixa de correio
📯	corneta postal
📰	jornal
📱	telefone celular
📲	telefone celular com seta
📳	modo vibratório
📴	telefone celular desligado
📵	proibido o uso de telefone celular
📶	barras de sinal
📷	câmera
📸	câmera com flash
📹	câmera de vídeo
📺	televisão
📻	rádio
📼	videocassete
📽	projetor de filmes
📿	rosário de oração
🔀	botão de músicas aleatórias
🔁	botão de repetir
🔂	botão de repetir uma única faixa
🔃	setas verticais no sentido horário
🔄	botão de setas em sentido anti-horário
🔅	botão de diminuir brilho
🔆	botão de aumentar brilho
🔇	alto-falante silenciado
🔈	alto-falante com volume baixo
🔉	alto-falante com volume médio
🔊	alto-falante com volume alto
🔋	pilha
🔌	tomada elétrica
🔍	lupa para a esquerda
🔎	lupa para a direita
🔏	cadeado com caneta
🔐	cadeado fechado com chave
🔑	chave
🔒	cadeado
🔓	cadeado aberto
🔔	sino
🔕	sino silenciado
🔖	marcador de página
🔗	link
🔘	botão de opção
🔙	seta BACK
🔚	seta END
🔛	seta ON!
🔜	seta SOON
🔝	seta TOP
🔞	proibido para menores de dezoito anos
🔟	tecla do número dez
🔠	letras latinas maiúsculas
🔡	letras latinas minúsculas
🔢	números
🔣	símbolos
🔤	letras latinas
🔥	fogo
🔦	lanterna
🔧	chave inglesa
🔨	martelo
🔩	porca e parafuso
🔪	faca de cozinha
🔫	pistola
🔬	microscópio
🔭	telescópio
🔮	bola de cristal
🔯	estrela de seis pontas
🔰	símbolo japonês de principiante
🔱	emblema de tridente
🔲	botão quadrado preto
🔳	botão quadrado branco
🔴	círculo vermelho
🔵	círculo azul
🔶	losango laranja grande
🔷	losango azul grande
🔸	losango laranja pequeno
🔹	losango azul pequeno
🔺	triângulo vermelho para cima
🔻	triângulo vermelho para baixo
🔼	botão apontando para cima
🔽	botão apontando para baixo
🕉	om
🕊	pomba branca
🕋	caaba islã
🕌	mesquita
🕍	sinagoga
🕎	menorá
🕐	uma hora
🕑	duas horas
🕒	três horas
🕓	quatro horas
🕔	cinco horas
🕕	seis horas
🕖	sete horas
🕗	oito horas
🕘	nove horas
🕙	dez horas
🕚	onze horas
🕛	doze horas
🕜	uma e meia
🕝	duas e meia
🕞	três e meia
🕟	quatro e meia
🕠	cinco e meia
🕡	seis e meia
🕢	sete e meia
🕣	oito e meia
🕤	nove e meia
🕥	dez e meia
🕦	onze e meia
🕧	doze e meia
🕯	vela
🕰	relógio de mesa
🕳	buraco
🕴	homem de terno
🕵	detetive
🕶	óculos escuros
🕷	aranha
🕸	teia de aranha
🕹	joystick
🕺	homem dançando
🖇	clipes de papel conectados
🖊	caneta
🖋	caneta tinteiro
🖌	pincel
🖍	giz de cera
🖐	mão aberta indicando cinco
🖕	dedo do meio
🖖	saudação vulcana
🖤	coração preto
🖥	computador de mesa
🖨	impressora
🖱	mouse
🖲	trackball
🖼	quadro emoldurado
🗂	divisores de pastas
🗃	caixa de arquivos
🗄	gavetas de escritório
🗑	lixeira
🗒	bloco espiral
🗓	calendário espiral
🗜	braçadeira
🗝	chave antiga
🗞	jornal enrolado
🗡	adaga
🗣	silhueta falando
🗨	balão de diálogo à esquerda
🗯	balão de raiva à direita
🗳	urna eleitoral com cédula
🗺	mapa-múndi
🗻	Monte Fuji
🗼	Torre de Tóquio
🗽	Estátua da Liberdade
🗾	mapa do Japão
🗿	moai
😀	rosto risonho
😁	sorriso mostrando os dentes
😂	rosto chorando de rir
😃	rosto risonho com olhos bem abertos
😄	rosto risonho com olhos sorridentes
😅	rosto risonho com gota de suor
😆	rosto risonho com olhos semicerrados
😇	rosto sorridente com auréola
😈	rosto sorridente com chifres
😉	rosto com olho piscando
😊	rosto sorridente com olhos sorridentes
😋	rosto saboreando comida
😌	rosto aliviado
😍	rosto sorridente com olhos em forma de coração
😎	rosto sorridente com óculos de sol
😏	rosto com sorriso convencido
😐	rosto neutro
😑	rosto inexpressivo
😒	rosto aborrecido
😓	rosto cabisbaixo com gota de suor
😔	rosto deprimido
😕	rosto confuso
😖	rosto perplexo
😗	rosto beijando
😘	rosto mandando um beijo
😙	rosto beijando com olhos sorridentes
😚	rosto beijando com olhos fechados
😛	rosto mostrando a língua
😜	rosto piscando e com língua para fora
😝	rosto com olhos semicerrados e língua para fora
😞	rosto desapontado
😟	rosto preocupado
😠	rosto zangado
😡	rosto furioso
😢	rosto chorando
😣	rosto perseverante
😤	rosto soltando vapor pelo nariz
😥	rosto triste, mas aliviado
😦	rosto franzido com boca aberta
😧	rosto angustiado
😨	rosto amedrontado
😩	rosto desolado
😪	rosto sonolento
😫	rosto cansado
😬	rosto expressando desagrado
😭	rosto chorando aos berros
😮	rosto com boca aberta
😯	rosto surpreso
😰	rosto ansioso com gota de suor
😱	rosto gritando de medo
😲	rosto espantado
😳	rosto ruborizado
😴	rosto dormindo
😵	rosto atordoado
😶	rosto sem boca
😷	rosto com máscara médica
😸	rosto de gato sorrindo com olhos sorridentes
😹	rosto de gato com lágrimas de alegria
😺	rosto de gato sorrindo
😻	rosto de gato sorridente com olhos em forma de coração
😼	rosto de gato irônico
😽	rosto de gato mandando um beijo
😾	rosto de gato mal-humorado
😿	rosto de gato chorando
🙀	rosto de gato aborrecido
🙁	rosto levemente franzido
🙂	rosto levemente sorridente
🙃	rosto de cabeça para baixo
🙄	rosto com olhos revirados
🙅	gesto para não é bom”
🙆	gesto para OK”
