©	著作権
≬	次の間に
≮	より小さくはない
≯	より大きくはない
≳	大きいかほぼ等しい
≺	前にある
≻	後にある
⊁	後にはない
⊂	真部分集合
⊃	上位集合
⊆	部分集合
⊇	部分集合 逆方向
⊕	直和
⊖	対称差
⊗	直積
⊘	丸囲みスラッシュ
⊙	丸囲みドット
⊚	丸囲みリング
⊛	丸囲みアスタリスク
⊞	四角囲みプラス
⊟	四角囲みマイナス
⊥	垂直記号
⊮	強制しない
⊰	前置関係
⊱	後置関係
⊶	オリジナル
⊹	エルミート共役行列
⊿	直角三角形
⋁	ｎ項論理和
⋂	ｎ項共通部分
⋃	ｎ項和集合
⋅	ドット演算子
⋆	スター演算子
⋈	自然結合
⋒	二重共通部分
⋘	極度に小さい
⋙	極度に大きい
⋭	正規部分群 逆方向 又は等しいの否定
⋮	縦三点リーダー
⋯	中央揃いの横三点リーダー
⋰	右上がり斜め三点リーダー
⋱	右下がり斜め三点リーダー
⌚	腕時計
⌛	砂時計
⌨	キーボード
⏏	取り出しボタン
⏩	早送りボタン
⏪	早戻しボタン
⏫	高速上ボタン
⏬	高速下ボタン
⏭	次の曲ボタン
⏮	前の曲ボタン
⏯	再生／一時停止ボタン
⏰	目覚まし時計
⏱	ストップウォッチ
⏲	タイマー
⏳	砂が落ちている砂時計
⏸	一時停止ボタン
⏹	停止ボタン
⏺	録音録画ボタン
Ⓜ	丸いMマーク
■	黒四角
□	白四角
▢	角丸白四角
▣	白四角の中に黒四角
▤	横縞線入りの四角
▥	縦縞線入りの四角
▦	格子線入りの四角
▧	左上右下斜め縞線入りの四角
▨	右上左下斜め縞線入りの四角
▩	斜め格子線入りの四角
▪	黒四角小
▫	白四角小
▬	黒い長方形
▭	白い長方形
▮	縦長の黒い長方形
▰	黒い平行四辺形
▲	上向黒三角
△	上向き白三角
▴	上向き黒三角小
▵	上向き白三角小
▶	再生ボタン
▷	右向き白三角
▸	右向き黒三角小
▹	右向き白三角小
►	右向きの黒い二等辺三角形
▻	右向きの白い二等辺三角形
▼	下向黒三角
▽	下向き白三角
▾	下向き黒三角小
▿	下向き白三角小
◀	逆再生ボタン
◁	左向き白三角
◂	左向き黒三角小
◃	左向き白三角小
◄	左向きの黒い二等辺三角形
◅	左向きの白い二等辺三角形
◆	黒ひし形
◇	白ひし形
◈	白ひし形の中に黒ひし形
◉	白丸の中に黒丸
◊	ひし形
○	白丸
◌	点線の丸
◍	縦線入りの丸
◎	二重丸
●	黒丸
◐	左半黒丸
◑	右半黒丸
◒	下半黒丸
◓	上半黒丸
◔	右上に黒い四分円がある白丸
◕	左上に白い四分円のある黒丸
◖	黒い左半円
◗	黒い右半円
◘	反転ビュレット
◙	黒四角の中に白丸
◜	左上四分円弧
◝	右上四分円弧
◞	右下四分円弧
◟	左下四分円弧
◠	上半円弧
◡	下半円弧
◢	黒い右下三角
◣	黒い左下三角
◤	黒い左上三角
◥	黒い右上三角
◦	白ビュレット
◯	白丸大
◳	右上に四角のある白四角
◷	右上に四分円のある白丸
◻	白四角大
◼	黒四角大
◽	白四角中
◾	黒四角中
◿	右下三角
☀	太陽
☁	雲
☂	傘
☃	雪だるまと雪
☄	彗星
☎	固定電話
☑	チェックボックス
☔	傘と雨
☕	温かい飲み物
☘	クローバー
☝	上指差し
☠	ドクロと骨
☢	放射能
☣	バイオハザード
☦	八端十字架
☪	星と三日月
☮	ピースマーク
☯	陰陽
☸	法輪
☹	困った顔
☺	スマイリー
♀	女性のマーク
♂	男性のマーク
♈	おひつじ座
♉	おうし座
♊	ふたご座
♋	かに座
♌	しし座
♍	おとめ座
♎	てんびん座
♏	さそり座
♐	いて座
♑	やぎ座
♒	みずがめ座
♓	うお座
♟	チェスの駒
♠	スペード
♣	クラブ
♥	ハート
♦	ダイヤ
♨	温泉マーク
♪	八分音符
♭	フラット
♯	シャープ
♻	リサイクルマーク
♾	無限大
♿	車椅子
⚒	ハンマーとつるはし
⚓	錨
⚔	クロスした剣
⚕	医療のシンボル
⚖	天秤
⚗	蒸留器
⚙	歯車
⚛	原子のシンボル
⚜	フルール・ド・リス
⚠	警告
⚡	高電圧
⚧	トランスジェンダーのマーク
⚪	白い丸
⚫	黒い丸
⚰	棺桶
⚱	骨壺
⚽	サッカー
⚾	野球
⛄	雪だるま
⛅	曇り時々晴れ
⛈	雷雨
⛎	へびつかい座
⛏	つるはし
⛑	白十字ヘルメット
⛓	鎖
⛔	車両進入禁止
⛩	鳥居
⛪	教会
⛰	山
⛱	パラソル
⛲	噴水
⛳	ゴルフ
⛴	フェリー
⛵	ヨット
⛷	スキーヤー
⛸	アイススケート
⛹	バスケットボールをする人
⛺	テント
⛽	ガソリンスタンド
✂	はさみ
✅	白抜きのチェック
✈	飛行機
✉	封筒
✊	げんこつ
✋	挙手
✌	Vサイン
✍	書いている手
✏	鉛筆
✒	ペン先
✔	太字のチェック
✖	掛け算
✝	十字架
✡	ダビデの星
✨	きらきら
✳	八角アスタリスク
✴	八角星
❄	雪の結晶
❇	スパークル
❌	バツ
❎	白抜きのバツ
❓	疑問符
❔	白い疑問符
❕	白い感嘆符
❗	感嘆符
❣	ハートのびっくり
❤	赤いハート
➕	プラス
➖	マイナス
➗	割り算
➡	右矢印
➰	ループ
➿	ダブルループ
⤴	上カーブ矢印
⤵	下カーブ矢印
⨧	下付き二のプラス
⨯	ベクトルクロス積
⨼	内部積
⩣	二重下線付き論理和
⩽	より小さいか又は等しい 斜め
⪍	より小さいか又はほぼ等しい
⪚	上に二重線のある大なりイコール
⪺	後にあるか又はほぼ等しい
⬅	左矢印
⬆	上矢印
⬇	下矢印
⬛	黒四角特大
⬜	白四角特大
⭐	スター
⭕	太い丸
〰	波線
〽	いおりてん
㊗	祝マーク
㊙	マル秘
﷼	リヤル
🅰	血液型A型
🅱	血液型B型
🅾	血液型O型
🅿	Pマーク
🆎	血液型AB型
🆑	CLマーク
🆒	COOLマーク
🆓	FREEマーク
🆔	IDマーク
🆕	NEWマーク
🆖	NGマーク
🆗	OKマーク
🆘	SOSマーク
🆙	UPマーク
🆚	VSマーク
🇨🇶	サーク島の旗
🈁	ココのマーク
🈂	サのマーク
🈚	無マーク
🈯	指マーク
🈲	禁マーク
🈳	空マーク
🈴	合マーク
🈵	満マーク
🈶	有マーク
🈷	月マーク
🈸	申マーク
🈹	割マーク
🈺	営マーク
🉐	マル得
🉑	可マーク
🀄	麻雀
🃏	ジョーカー
🌀	渦巻き
🌁	霧の都会
🌂	閉じた傘
🌃	夜の都会
🌄	山から日の出
🌅	日の出
🌆	夕暮れの都会
🌇	夕日
🌈	虹
🌉	夜の橋
🌊	波
🌋	火山
🌌	天の川
🌍	地球（ヨーロッパとアフリカ）
🌎	地球（アメリカ大陸）
🌏	地球（アジアとオーストラリア）
🌐	子午線のある地球
🌑	新月
🌒	初月
🌓	上弦の月
🌔	十三夜月
🌕	満月
🌖	寝待月
🌗	下弦の月
🌘	有明月
🌙	三日月
🌚	顔のある新月
🌛	顔のある上弦の月
🌜	顔のある下弦の月
🌝	顔のある満月
🌞	顔のある太陽
🌟	きらきら星
🌠	流れ星
🌡	温度計
🌤	晴れ時々曇り
🌥	曇り一時晴れ
🌦	雨時々晴れ
🌧	雨雲
🌨	雪雲
🌩	雷雲
🌪	竜巻
🌫	霧
🌬	顔のある風
🌭	ホットドッグ
🌮	タコス
🌯	ブリトー
🌰	くり
🌱	新芽
🌲	常緑樹
🌳	落葉樹
🌴	ヤシの木
🌵	サボテン
🌶	とうがらし
🌷	チューリップ
🌸	桜
🌹	バラ
🌺	ハイビスカス
🌻	ヒマワリ
🌼	開花
🌽	とうもろこし
🌾	稲
🌿	ハーブ
🍀	四つ葉のクローバー
🍁	かえで
🍂	落ち葉
🍃	風に揺れる葉
🍄	キノコ
🍅	トマト
🍆	ナス
🍇	ぶどう
🍈	メロン
🍉	スイカ
🍊	みかん
🍋	レモン
🍌	バナナ
🍍	パイナップル
🍎	赤リンゴ
🍏	青リンゴ
🍐	洋ナシ
🍑	桃
🍒	さくらんぼ
🍓	いちご
🍔	ハンバーガー
🍕	ピザ
🍖	骨付き肉
🍗	鶏もも肉
🍘	せんべい
🍙	おにぎり
🍚	ごはん
🍛	カレーライス
🍜	ラーメン
🍝	スパゲッティ
🍞	食パン
🍟	フライドポテト
🍠	焼き芋
🍡	だんご
🍢	おでん
🍣	すし
🍤	エビフライ
🍥	なると
🍦	ソフトクリーム
🍧	かき氷
🍨	アイスクリーム
🍩	ドーナツ
🍪	クッキー
🍫	チョコレート
🍬	キャンディ
🍭	ぺろぺろキャンディ
🍮	プリン
🍯	はちみつ
🍰	ショートケーキ
🍱	弁当
🍲	なべ
🍳	料理
🍴	ナイフとフォーク
🍵	湯飲み
🍶	徳利
🍷	ワイングラス
🍸	カクテルグラス
🍹	トロピカルドリンク
🍺	ビールジョッキ
🍻	ビールで乾杯
🍼	ほにゅう瓶
🍽	ナイフとフォークと皿
🍾	シャンパン
🍿	ポップコーン
🎀	リボン
🎁	プレゼント
🎂	バースデーケーキ
🎃	ハロウィンかぼちゃ
🎄	クリスマスツリー
🎅	サンタ
🎆	打ち上げ花火
🎇	線香花火
🎈	風船
🎉	クラッカー
🎊	くす玉
🎋	七夕
🎌	祝日の旗
🎍	門松
🎎	ひな祭り
🎏	こいのぼり
🎐	風鈴
🎑	月見
🎒	バックパック
🎓	角帽
🎖	勲章
🎗	リマインダーリボン
🎙	スタジオマイク
🎚	レベルスライダー
🎛	コントロールつまみ
🎞	映画フィルム
🎟	入場券
🎠	メリーゴーランド
🎡	観覧車
🎢	ジェットコースター
🎣	釣り
🎤	マイク
🎥	映画カメラ
🎦	映画
🎧	ヘッドホン
🎨	絵の具パレット
🎩	シルクハット
🎪	サーカス
🎫	チケット
🎬	カチンコ
🎭	舞台芸術
🎮	テレビゲーム
🎯	的
🎰	スロットマシン
🎱	ビリヤード
🎲	サイコロ
🎳	ボウリング
🎴	花札
🎵	音符
🎶	複数の音符
🎷	サックス
🎸	ギター
🎹	鍵盤
🎺	トランペット
🎻	バイオリン
🎼	楽譜
🎽	長距離走
🎾	テニス
🎿	スキー
🏀	バスケットボール
🏁	チェッカーフラッグ
🏂	スノーボーダー
🏃	走る人
🏄	サーフィンする人
🏅	メダル
🏆	トロフィー
🏇	競馬
🏈	アメフト
🏉	ラグビー
🏊	泳ぐ人
🏋	重量挙げをする人
🏌	ゴルフをする人
🏍	オートバイ
🏎	レーシングカー
🏏	クリケット
🏐	バレーボール
🏑	ホッケー
🏒	アイスホッケー
🏓	卓球
🏔	雪山
🏕	キャンプ
🏖	ビーチパラソル
🏗	建設中
🏘	住宅街
🏙	高層ビル
🏚	廃屋
🏛	歴史的な建物
🏜	砂漠
🏝	無人島
🏞	国立公園
🏟	競技場
🏠	家
🏡	庭付きの家
🏢	オフィスビル
🏣	郵便局
🏤	西洋の郵便局
🏥	病院
🏦	銀行
🏧	ATM
🏨	ホテル
🏩	ラブホテル
🏪	コンビニ
🏫	学校
🏬	デパート
🏭	工場
🏮	赤ちょうちん
🏯	城
🏰	西洋の城
🏳	白旗
🏴	黒旗
🏵	花飾り
🏷	荷札
🏸	バドミントン
🏹	弓矢
🏺	壺
🏻	明るい肌色
🏼	やや明るい肌色
🏽	中間の肌色
🏾	やや濃い肌色
🏿	濃い肌色
🐀	ネズミ
🐁	ハツカネズミ
🐂	牡牛
🐃	水牛
🐄	牝牛
🐅	トラ
🐆	ヒョウ
🐇	ウサギ
🐈	ネコ
🐉	ドラゴン
🐊	ワニ
🐋	クジラ
🐌	かたつむり
🐍	ヘビ
🐎	馬
🐏	牡羊
🐐	山羊
🐑	羊
🐒	サル
🐓	おんどり
🐔	にわとり
🐕	イヌ
🐖	ブタ
🐗	イノシシ
🐘	ゾウ
🐙	タコ
🐚	巻き貝
🐛	毛虫
🐜	アリ
🐝	ミツバチ
🐞	テントウムシ
🐟	魚
🐠	熱帯魚
🐡	フグ
🐢	カメ
🐣	卵からかえったひよこ
🐤	ひよこ
🐥	前を向いているひよこ
🐦	鳥
🐧	ペンギン
🐨	コアラ
🐩	プードル
🐪	ラクダ
🐫	フタコブラクダ
🐬	イルカ
🐭	ネズミの顔
🐮	牛の顔
🐯	トラの顔
🐰	ウサギの顔
🐱	ネコの顔
🐲	ドラゴンの顔
🐳	潮吹きクジラ
🐴	馬の顔
🐵	サルの顔
🐶	イヌの顔
🐷	ブタの顔
🐸	カエルの顔
🐹	ハムスターの顔
🐺	オオカミの顔
🐻	クマの顔
🐼	パンダの顔
🐽	ブタ鼻
🐾	肉球
🐿	リス
👀	目
👁	片目
👂	耳
👃	鼻
👄	口
👅	舌
👆	手の甲上指差し
👇	下指差し
👈	左指差し
👉	右指差し
👊	グー
👋	手を振る
👌	OKの手
👍	サムズアップ
👎	サムズダウン
👏	拍手
👐	両手のひら
👑	王冠
👒	婦人帽子
👓	メガネ
👔	ネクタイ
👕	Tシャツ
👖	ジーンズ
👗	ワンピース
👘	着物
👙	ビキニ
👚	婦人服
👛	がま口
👜	ハンドバッグ
👝	ポーチ
👞	紳士靴
👟	スニーカー
👠	ハイヒール
👡	サンダル
👢	ブーツ
👣	足あと
👤	人のシルエット
👥	二人のシルエット
👦	男の子
👧	女の子
👨	男性
👩	女性
👪	家族
👫	手をつなぐ男女
👬	手をつなぐ男性
👭	手をつなぐ女性
👮	警察官
👯	バニー
👰	花嫁
👱	金髪の人
👲	中華帽の男性
👳	ターバンの人
👴	おじいさん
👵	おばあさん
👶	赤ん坊
👷	建設作業員
👸	プリンセス
👹	鬼
👺	天狗
👻	お化け
👼	天使
👽	エイリアン
👾	インベーダー
👿	怒った悪魔
💀	ドクロ
💁	案内する人
💂	衛兵
💃	踊る女
💄	口紅
💅	マニキュアを塗る手
💆	フェイスマッサージ中の人
💇	散髪される人
💈	床屋
💉	注射器
💊	薬
💋	キスマーク
💌	ラブレター
💍	指輪
💎	宝石
💏	二人のキス
💐	花束
💑	カップルとハート
💒	結婚式
💓	ドキドキするハート
💔	割れたハート
💕	二つのハート
💖	きらきらハート
💗	大きくなるハート
💘	ハートに矢
💙	青いハート
💚	緑のハート
💛	黄色のハート
💜	紫のハート
💝	ハートにリボン
💞	回転するハート
💟	ハートデコ
💠	ドット付きひし形
💡	電球
💢	むかっ
💣	爆弾
💤	グーグー
💥	衝突
💦	あせあせ
💧	水滴
💨	ダッシュ
💩	うんち
💪	力こぶ
💫	くらくら
💬	会話の吹き出し
💭	雲形の吹き出し
💮	大変よくできました
💯	百点満点
💰	ドル袋
💱	外貨両替
💲	ドル記号
💳	クレジットカード
💴	円札
💵	ドル札
💶	ユーロ札
💷	ポンド札
💸	羽が生えたお金
💹	為替
💺	座席
💻	ノートパソコン
💼	ブリーフケース
💽	MD
💾	フロッピー
💿	CD
📀	DVD
📁	フォルダー
📂	開いたフォルダー
📃	巻きページ
📄	ページ
📅	カレンダー
📆	日めくりカレンダー
📇	カードインデックス
📈	グラフ上向き
📉	グラフ下向き
📊	棒グラフ
📋	クリップボード
📌	押しピン
📍	丸い押しピン
📎	クリップ
📏	定規
📐	三角定規
📑	ページに付箋
📒	リングノート
📓	ノート
📔	表紙付きノート
📕	閉じた本
📖	開いた本
📗	緑の本
📘	青の本
📙	オレンジの本
📚	本の山
📛	名札
📜	巻き物
📝	鉛筆とメモ
📞	受話器
📟	ポケベル
📠	ファックス
📡	パラボラアンテナ
📢	拡声器
📣	メガホン
📤	送信トレイ
📥	受信トレイ
📦	荷物
📧	Eメール
📨	メール受信中
📩	メール受信
📪	閉じた郵便受け（手紙なし）
📫	閉じた郵便受け（手紙あり）
📬	開いた郵便受け（手紙あり）
📭	開いた郵便受け（手紙なし）
📮	郵便ポスト
📯	郵便ラッパ
📰	新聞
📱	携帯電話
📲	着信中
📳	マナーモード
📴	携帯電話電源オフ
📵	携帯電話禁止
📶	アンテナマーク
📷	カメラ
📸	フラッシュを焚いているカメラ
📹	ビデオカメラ
📺	テレビ
📻	ラジオ
📼	ビデオテープ
📽	映写機
📿	数珠
🔀	シャッフルボタン
🔁	リピートボタン
🔂	一曲リピートボタン
🔃	右回り縦矢印
🔄	左回り矢印
🔅	低輝度
🔆	高輝度
🔇	スピーカー消音
🔈	スピーカー
🔉	スピーカー音量小
🔊	スピーカー音量大
🔋	電池
🔌	コンセント
🔍	虫眼鏡左
🔎	虫眼鏡右
🔏	閉じた錠とペン
🔐	閉じた錠と鍵
🔑	鍵
🔒	閉じた錠
🔓	開いた錠
🔔	ベル
🔕	ベル消音
🔖	しおり
🔗	リンクシンボル
🔘	ラジオボタン
🔙	BACK矢印
🔚	END矢印
🔛	ON矢印
🔜	SOON矢印
🔝	TOP矢印
🔞	十八歳未満禁止
🔟	十のキー
🔠	英大文字の入力
🔡	英小文字の入力
🔢	数字の入力
🔣	記号の入力
🔤	英字の入力
🔥	火
🔦	懐中電灯
🔧	レンチ
🔨	ハンマー
🔩	ボルトとナット
🔪	包丁
🔫	ピストル
🔬	顕微鏡
🔭	望遠鏡
🔮	水晶玉
🔯	六芒星
🔰	初心者マーク
🔱	トライデント
🔲	黒枠四角
🔳	白枠四角
🔴	赤い丸
🔵	青い丸
🔶	大きいオレンジのひし形
🔷	大きい青のひし形
🔸	小さいオレンジのひし形
🔹	小さい青のひし形
🔺	赤い上三角
🔻	赤い下三角
🔼	上ボタン
🔽	下ボタン
🕉	オーム
🕊	ハト
🕋	カーバ
🕌	モスク
🕍	シナゴーグ
🕎	メノーラー
🕐	一時
🕑	二時
🕒	三時
🕓	四時
🕔	五時
🕕	六時
🕖	七時
🕗	八時
🕘	九時
🕙	十時
🕚	十一時
🕛	十二時
🕜	一時半
🕝	二時半
🕞	三時半
🕟	四時半
🕠	五時半
🕡	六時半
🕢	七時半
🕣	八時半
🕤	九時半
🕥	十時半
🕦	十一時半
🕧	十二時半
🕯	ろうそく
🕰	置時計
🕳	穴
🕴	浮いてるビジネスマン
🕵	探偵
🕶	サングラス
🕷	クモ
🕸	クモの巣
🕹	ジョイスティック
🕺	踊る男
🖇	つながったクリップ
🖊	ペン
🖋	万年筆
🖌	絵筆
🖍	クレヨン
🖐	開いた手
🖕	立てた中指
🖖	バルカンの挨拶
🖤	黒いハート
🖥	デスクトップパソコン
🖨	プリンタ
🖱	マウス
🖲	トラックボール
🖼	絵画
🗂	カードフォルダー
🗃	カードファイルボックス
🗄	ファイルキャビネット
🗑	ごみ箱
🗒	メモ帳
🗓	月めくりカレンダー
🗜	万力
🗝	古い鍵
🗞	丸めた新聞
🗡	短刀
🗣	話す人のシルエット
🗨	吹き出し左
🗯	怒りの吹き出し
🗳	投票箱
🗺	世界地図
🗻	富士山
🗼	東京タワー
🗽	自由の女神
🗾	日本地図
🗿	モアイ
😀	にっこり笑う
😁	にやっと笑う
😂	嬉し泣き
😃	わーい
😄	笑顔
😅	冷や汗笑顔
😆	きゃー
😇	天使の輪がついた笑顔
😈	笑った悪魔
😉	ウインク
😊	にこにこ
😋	にこにこぺろり
😌	ほっとした顔
😍	目がハートの笑顔
😎	サングラスで笑顔
😏	薄笑いをする顔
😐	ポーカーフェイス
😑	無表情
😒	しらけた
😓	冷や汗
😔	しょぼーん
😕	混乱
😖	困惑した顔
😗	キス
😘	投げキッス
😙	にっこりキス
😚	ちゅっ
😛	舌を出した顔
😜	あっかんべー
😝	目を閉じてべー
😞	失望した顔
😟	悩む顔
😠	ぷんぷん
😡	ふくれっ面
😢	泣き顔
😣	我慢
😤	勝ち誇った顔
😥	どうしよう
😦	あきれ顔
😧	苦悩
😨	青ざめ
😩	あきらめ
😪	眠い
😫	疲れた
😬	しかめ面
😭	大泣き
😮	口が開いた顔
😯	ぽかーん
😰	冷や汗青ざめ
😱	恐怖
😲	びっくり
😳	赤面
😴	寝る
😵	めまい
😶	口のない顔
😷	マスク顔
😸	にやっと笑う猫
😹	嬉し泣きする猫
😺	にっこり笑う猫
😻	目がハートの猫
😼	にやりとする猫
😽	猫のキス
😾	不機嫌な猫
😿	泣いている猫
🙀	絶望する猫
🙁	少し困った顔
🙂	微笑む
🙃	さかさまの顔
🙄	上を見る顔
🙅	ダメのポーズをする人
🙆	OKのポーズをする人
🙇	おじぎする人
🙈	見ざる
🙉	聞かざる
🙊	言わざる
🙋	手を挙げる人
🙌	バンザイ
🙍	しかめ面の人
🙎	不機嫌な人
🙏	祈り
🚀	ロケット
🚁	ヘリコプター
🚂	蒸気機関車
🚃	電車
🚄	新幹線
🚅	ゼロ系新幹線
🚆	電車正面
🚇	地下鉄
🚈	ライトレール
🚉	駅
🚊	路面電車正面
🚋	路面電車
🚌	バス
🚍	バス正面
🚎	トロリーバス
🚏	バス停
🚐	マイクロバス
🚑	救急車
🚒	消防車
🚓	パトカー
🚔	パトカー正面
🚕	タクシー
🚖	タクシー正面
🚗	自動車
🚘	自動車正面
🚙	アールブイ車
🚚	トラック
🚛	トレーラー
🚜	トラクター
🚝	モノレール
🚞	登山鉄道
🚟	懸垂式モノレール
🚠	ケーブルカー
🚡	ロープウェイ
🚢	船
🚣	ボートをこぐ人
🚤	スピードボート
🚥	信号横
🚦	信号縦
🚧	工事中
🚨	パトランプ
🚩	三角の旗
🚪	ドア
🚫	車両通行止め
🚬	煙草
🚭	禁煙
🚮	ゴミ箱
🚯	ポイ捨て禁止
🚰	飲料水
🚱	飲用不可
🚲	自転車
🚳	自転車禁止
🚴	自転車に乗る人
🚵	マウンテンバイクに乗る人
🚶	歩く人
🚷	歩行者立入禁止
🚸	児童横断
🚹	男子トイレ
🚺	女子トイレ
🚻	トイレ
🚼	ベビーシート
🚽	便器
🚾	WC
🚿	シャワー
🛀	風呂に入る人
🛁	バスタブ
🛂	出入国審査
🛃	税関
🛄	手荷物受取
🛅	手荷物預かり
🛋	ソファとランプ
🛌	ベッドに寝る人
🛍	紙袋
🛎	ベルボーイベル
🛏	ベッド
🛐	礼拝所
🛑	止まれの標識
🛒	ショッピングカート
🛕	ヒンドゥー教の寺院
🛖	わらぶき小屋
🛗	エレベーター
🛜	Wi-Fi
🛝	すべり台
🛞	ホイール
🛟	救命浮環
🛠	ハンマーとレンチ
🛡	盾
🛢	ドラム缶
🛣	高速道路
🛤	線路
🛥	モーターボート
🛩	小型飛行機
🛫	飛行機離陸
🛬	飛行機着陸
🛰	人工衛星
🛳	客船
🛴	キックボード
🛵	スクーター
🛶	カヌー
🛷	そり競技
🛸	空飛ぶ円盤
🛹	スケートボード
🛺	三輪タクシー
🛻	軽トラック
🛼	ローラースケート
🟠	オレンジの丸
🟡	黄色い丸
🟢	緑の丸
🟣	紫の丸
🟤	茶色の丸
🟥	赤い四角
🟦	青い四角
🟧	オレンジの四角
🟨	黄色い四角
🟩	緑の四角
🟪	紫の四角
🟫	茶色い四角
🟰	太字の等号
🤌	上向きにすぼめた手
🤍	白いハート
🤎	茶色いハート
🤏	つまんでいる指
🤐	口チャック
🤑	お金の顔
🤒	熱がある顔
🤓	オタク
🤔	考える顔
🤕	包帯を巻いた顔
🤖	ロボット
🤗	ハグ
🤘	角の指サイン
🤙	電話の合図
🤚	手の甲
🤛	左向きのこぶし
🤜	右向きのこぶし
🤝	握手
🤞	指をクロス
🤟	アイラブユー
🤠	カウボーイの顔
🤡	ピエロの顔
🤢	吐き気を催している顔
🤣	笑い転げる
🤤	よだれを垂らした顔
🤥	うそつきの顔
🤦	ひたいに手をあてる人
🤧	くしゃみする顔
🤨	眉を上げた顔
🤩	目が星の笑顔
🤪	ふざけた顔
🤫	しーっ
🤬	ののしる
