©	कॉपीराइट
▮	भरा हुआ लंबवत समकोण
▰	भरा हुआ समानांतर चतुर्भुज
▲	ऊपर की ओर इंगित करता भरा हुआ त्रिकोण
△	खाली ऊपर की ओर इंगित करता हुआ त्रिभुज
▴	भरा हुआ ऊपर की ओर इंगित करता हुआ छोटा त्रिभुज
▵	खाली ऊपर की ओर इंगित करता हुआ छोटा त्रिभुज
▶	चलाएं बटन, त्रिकोण
▷	दाईं ओर इंगित करता हुआ खाली त्रिभुज
▸	दाईं ओर इंगित करता हुआ भरा हुआ छोटा त्रिभुज
▹	दाईं ओर इंगित करता हुआ खाली छोटा त्रिभुज
►	दाईं ओर इंगित करता हुआ भरा हुआ सूचक
▻	दाईं ओर इंगित करता हुआ खाली सूचक
▼	नीचे की ओर इंगित करता भरा हुआ त्रिकोण
▽	नीचे की ओर इंगित करता हुआ खाली त्रिभुज
▾	नीचे की ओर इंगित करता हुआ भरा हुआ छोटा त्रिभुज
▿	नीचे की ओर इंगित करता हुआ खाली छोटा त्रिभुज
◀	पीछे जाएं बटन, बाएं, त्रिकोण
◁	बाईं ओर इंगित करता हुआ खाली त्रिभुज
◂	बाईं ओर इंगित करता हुआ भरा हुआ छोटा त्रिभुज
◃	बाईं ओर इंगित करता हुआ खाली छोटा त्रिभुज
◄	बाईं ओर इंगित करता हुआ भरा हुआ सूचक
◅	बाईं ओर इंगित करता हुआ खाली सूचक
◆	भरा हुआ डायमंड
◇	खाली डायमंड
◈	भरा हुआ डायमंड युक्त खाली डायमंड
◉	भरा हुआ वृत्त युक्त खाली वृत्त
◊	समचतुर्भुज
○	खोखला वृत्त
◌	बिंदीदार वृत्त
◍	लंबवत भरण वाला वृत्त
◎	संकेंद्रित वृत्त
●	भरा वृत्त
◐	बाईं ओर आधा भरा हुआ वृत्त
◑	दाईं ओर आधा भरा हुआ वृत्त
◒	नीचे की ओर आधा भरा हुआ वृत्त
◓	ऊपर की ओर आधा भरा हुआ वृत्त
◔	ऊपरी दाईं ओर चतुर्थांश भरा हुआ वृत्त
◕	ऊपरी बाईं ओर चतुर्थांश को छोड़कर भरा हुआ वृत्त
◖	आधा भरा हुआ बाईं ओर वृत्त
◗	आधा भरा हुआ दाईं ओर वृत्त
◘	उलटा बुलेट
◙	खाली वृत्त युक्त भरा हुआ वर्ग
◜	ऊपरी बाईं ओर चतुर्थांश वृत्ताकार चाप
◝	ऊपरी दाईं ओर चतुर्थांश वृत्ताकार चाप
◞	नीचे की दाईं ओर चतुर्थांश वृत्ताकार चाप
◟	नीचे की बाईं ओर चतुर्थांश वृत्ताकार चाप
◠	ऊपर की ओर आधा वृत्त
◡	नीचे की ओर आधा वृत्त
◢	भरा हुआ निचला दायाँ त्रिकोण
◣	भरा हुआ निचला बायाँ त्रिकोण
◤	भरा हुआ ऊपरी बायाँ त्रिकोण
◥	भरा हुआ ऊपरी दायाँ त्रिकोण
◦	खाली बुलेट
◯	बड़ा सा खोखला वृत्त
◳	ऊपरी दाईं ओर चतुर्थांश खाली वर्ग
◷	ऊपरी दाईं ओर चतुर्थांश वाला खाली वृत्त
◻	सफेद मध्यम वर्ग
◼	काला मध्यम वर्ग
◽	सफेद मध्यम-छोटा वर्ग
◾	काला मध्यम-छोटा वर्ग
◿	निचला दायां त्रिभुज
☀	सूर्य
☁	बादल
☂	खुला छाता
☃	स्नोमैन
☄	धूमकेतु, अंतरिक्ष
☎	टेलीफ़ोन, फ़ोन
☑	चेक के साथ मतपत्र, मतपत्र
☔	पानी से भीगा छाता
☕	कॉफ़ी, भाप वाला गर्म पेय
☘	पौधा, तीन पत्तियां
☝	ऊपर की ओर इशारा करती तर्जनी
☠	खतरे या मौत का निशान
☢	रेडियो सक्रिय
☣	जैवसंकट
☦	ईसाई क्रॉस
☪	चांद और तारा, इस्लाम धर्म
☮	शांति का प्रतीक
☯	यिंग यांग, ताओ
☸	धर्म चक्र, धर्म
☹	अधिक क्रोधित चेहरा
☺	मुस्काता चेहरा
♀	महिला साइन
♂	पुरुष साइन
♈	मेष, राशि
♉	वृषभ, राशि
♊	मिथुन, राशि
♋	कर्क, राशि
♌	सिंह, राशि
♍	कन्या, राशि
♎	तुला, राशि
♏	वृश्चिक, राशि
♐	धनु, राशि
♑	मकर, राशि
♒	कुंभ, राशि
♓	मीन, राशि
♟	शतरंज का प्यादा
♠	हुकुम का पत्ता
♣	चिड़िया का पत्ता
♥	पाँन का पत्ता
♦	ईंट का पत्ता
♨	भाप युक्त, गर्म
♪	आठवां सुर
♭	सपाट
♯	ऊँचा
♻	पुनर्चक्रीकरण प्रतीक, रीसाइक्लिंग, वैश्विक, चिह्न
♾	अनंत
♿	ह्वीलचेयर का प्रतीक
⚒	हथौड़ा और कुल्हाड़ी
⚓	एंकर, चिह्न
⚔	क्रॉस बनाती तलवारें
⚕	चिकित्सा प्रतीक
⚖	तराजू, संतुलन, तुला राशि
⚗	रासायनिक उपकरण
⚙	गियर
⚛	नास्तिक, अणु
⚜	कुमुदिनी का फूल
⚠	चेतावनी
⚡	उच्च वोल्टेज
⚧	ट्रांसजेंडर चिह्न
⚪	सफेद वृत्त
⚫	काला वृत्त
⚰	ताबूत
⚱	अस्थि कलश
⚽	सॉकर बॉल, फुटबॉल
⚾	बेसबॉल
⛄	बिना बर्फ का स्नोमैन
⛅	बादलों के पीछे सूर्य
⛈	बारिश और बिजली के साथ बादल
⛎	सर्प, राशि
⛏	कुल्हाड़ी, खनन टूल
⛑	सफेद क्रॉस वाला हेलमेट
⛓	श्रृंखला, ज़ंजीर
⛔	प्रवेश निषेध
⛩	शिंटो श्राइन, जापानी धर्म स्थल
⛪	चर्च, भवन
⛰	पहाड़
⛱	जमीन पर छाता
⛲	फव्वारा
⛳	छेद में झंडा
⛴	नौका
⛵	सेलबोट, नाव
⛷	स्की खिलाड़ी
⛸	आइस स्केट, स्केट
⛹	गेंद से खेलता व्यक्ति
⛺	टेंट, कैंपिंग
⛽	गैस स्टेशन, पेट्रोल पंप
✂	कैंची
✅	सफेद चेक मार्क, सही का चिह्न
✈	हवाई जहाज़
✉	लिफ़ाफ़ा
✊	उठी हुई मुट्ठी
✋	उठा हुआ हाथ
✌	विजयी हाथ
✍	लिखता हुआ हाथ
✏	पेंसिल
✒	काली निब, पेन
✔	बड़ा चेक मार्क
✖	बड़ा गुणा, काटने का चिह्न
✝	लैटिन क्रॉस, ईसाई धर्म
✡	डेविड, यहूदी धर्म
✨	चमकदार तारे
✳	आठ सिरों वाला तारक चिह्न
✴	आठ किनारों वाला तारा
❄	शीत, बर्फ
❇	चिंगारी
❌	लाल काटने का चिह्न
❎	सफेद काटने का चिह्न
❓	लाल प्रश्न चिह्न, प्रश्न
❔	प्रश्न चिह्न, प्रश्न
❕	विस्मयादि बोधक चिह्न
❗	विस्मयादिबोधक विराम चिह्न
❣	विस्मय चिह्न वाला दिल
❤	लाल दिल
➕	बड़ा धन चिह्न
➖	बड़ा ऋण चिह्न
➗	बड़ा भाग चिह्न
➡	दायां तीर, कार्डिनल, पूर्व दिशा
➰	लहरदार फंदा, मोड़
➿	दोहरा लहरदार फंदा
⤴	ऊपर मुड़ने वाला दायां तीर
⤵	नीचे मुड़ने वाला दायां तीर
⨧	धन सबस्क्रिप्ट दो
⨯	वेक्टर अन्योन्य गुणन
⨼	इंटीरियर प्रोडक्ट
⩣	तार्किक या दोहरा अंडरबार
⩽	एकतरफा बराबर से कम
⪍	समान आकृति बराबर के ऊपर इससे कम
⪚	इससे अधिक दोहरी बराबर लाइन
⪺	ऊपर वाला सक्सीड लगभग बराबर नहीं
⬅	बायां तीर, कार्डिनल, पश्चिम दिशा
⬆	ऊपर तीर, कार्डिनल, उत्तर दिशा
⬇	नीचे तीर, कार्डिनल, नीचे, दक्षिण दिशा
⬛	काला बड़ा चौकोर
⬜	बड़ा सफेद वर्ग
⭐	मध्यम सफ़ेद तारा
⭕	वृत्त, गोला
〰	लंबी आवाज़ का चिह्न, डैश
〽	एक भाग प्रत्यावर्तन चिह्न
㊗	वृत्त में बधाई देता आइडियोग्राफ़, वृत्त
㊙	वृत्त में गुप्त आइडियोग्राफ़, वृत्त
﷼	रियाल
🅰	ए बटन
🅱	बी बटन
🅾	चौकोर में ओ बटन
🅿	चौकोर में पी बटन, पार्किंग
🆎	एबी बटन
🆑	साफ़, क्लीयर, साफ़ चिह्न, CL
🆒	ठंडा, ठंडा चिह्न
🆓	निशुल्क चिह्न, शुल्क मुक्त
🆔	आईडी चिह्न, पहचान
🆕	चौकोर में नया चिह्न
🆖	चौकोर में ठीक नहीं चिह्न
🆗	चौकोर में ठीक चिह्न
🆘	चौकोर में SOS चिह्न, बचाओ
🆙	चौकोर में नई जानकारी, अपडेट चिह्न
🆚	चौकोर में विरुद्ध चिह्न
🇨🇶	सार्क द्वीप का झंडा
🈁	चौकोर में यहां के लिए जापानी चिह्न
🈂	चौकोर में यहां हेतु जापानी चिह्न
🈚	वर्ग में निषेध के लिए जापानी शब्द
🈯	चौकोर में अंगुली के लिए जापानी शब्द
🈲	वर्ग में निषिद्ध के लिए जापानी शब्द
🈳	वर्ग में खाली के लिए चीनी शब्द
🈴	वृत्त में एक साथ के लिए चीनी शब्द
🈵	वृत्त में संपूर्णता के लिए चीनी शब्द
🈶	चौकोर में अस्तित्व के लिए जापानी शब्द
🈷	चौकोर में चांद के लिए जापानी शब्द
🈸	वर्ग में लागू करें के लिए चीनी शब्द
🈹	चौकोर में विभाजन के लिए जापानी शब्द
🈺	वृत्त में क्रियान्वयन के लिए चीनी शब्द
🉐	वृत्त में लाभ के लिए जापानी शब्द
🉑	वृत्त में स्वीकृति के लिए चीनी शब्द
🀄	माहजोंग लाल दैत्य
🃏	जोकर कार्ड
🌀	चक्रवात, तूफ़ान
🌁	कुहासा, कोहरा
🌂	बंद छाता
🌃	रात के तारे, तारे, रात
🌄	पहाड़ में सूर्योदय
🌅	सूर्योदय, सुबह का सूरज
🌆	शाम का शहर
🌇	सूर्यास्त
🌈	इंद्रधनुष
🌉	रात में पुल
🌊	समुद्र की लहर
🌋	ज्वालामुखी
🌌	आकाशगंगा
🌍	ग्लोब, पृथ्वी, यूरोप, अफ़्रीका
🌎	ग्लोब, पृथ्वी, अमेरिकाज़, अमेरिका
🌏	ग्लोब, पृथ्वी, एशिया, ऑस्ट्रेलिया
🌐	ग्लोब, विश्व रेखाएं
🌑	नया चांद
🌒	दूज का चांद
🌓	कृष्ण पक्ष अर्धचंद्र
🌔	बढ़ता चांद
🌕	पूरा चांद
🌖	घटता चांद
🌗	शुक्ल पक्ष अर्धचंद्र
🌘	चापाकार घटता चांद
🌙	चापाकार चंद्र
🌚	नए चांद वाला चेहरा
🌛	चौथाई माह के चांद वाला दाईं ओर चेहरा
🌜	चौथाई माह के चांद वाला बाईं ओर चेहरा
🌝	पूरे चांद वाला चेहरा
🌞	सूर्य वाला चेहरा
🌟	चमकदार तारा
🌠	गिरता तारा
🌡	थर्मामीटर
🌤	छोटे बादल के पीछे सूर्य
🌥	बड़े बादल के पीछे सूर्य
🌦	बारिश वाले बादल के पीछे
🌧	बारिश के साथ बादल
🌨	बर्फ के साथ बादल
🌩	बिजली के साथ बादल
🌪	तूफ़ान
🌫	कोहरा
🌬	तिरछा चेहरा
🌭	हॉट डॉग
🌮	टैको
🌯	बरिटो
🌰	चेस्टनट
🌱	अंकुर
🌲	सदाबहार वृक्ष
🌳	छायादार पेड़
🌴	ताड़ का पेड़
🌵	कैक्टस
🌶	तीखी मिर्च
🌷	ट्यूलिप
🌸	चैरी ब्लॉसम
🌹	गुलाब
🌺	गुड़हल, हिबिस्कस
🌻	सूर्यमुखी
🌼	फूल खिलना
🌽	भुट्टा, मकई का भुट्टा
🌾	चावल का पौधा
🌿	जड़ी–बूटी, पत्ती
🍀	चार पत्ती वाली दूब
🍁	मैपल की पत्ती
🍂	गिरता हुई पत्तियां
🍃	हवा में पत्तियां
🍄	मशरूम
🍅	टमाटर
🍆	बैंगन
🍇	अंगूर, फल
🍈	खरबूजा, फल
🍉	तरबूज, फल
🍊	संतरा, फल
🍋	नीबू
🍌	केला, फल
🍍	अन्नानास, फल
🍎	लाल सेब, सेवफल, लाल, फल
🍏	हरा सेब, सेवफल, हरा, फल
🍐	नाशपाती, फल
🍑	आड़ू
🍒	चैरी
🍓	स्ट्रॉबेरी
🍔	हैमबर्गर
🍕	पिज़्ज़ा स्लाइस
🍖	हड्डी वाला मांस
🍗	चिकन लेग
🍘	राइस क्रैकर
🍙	राइस बॉल
🍚	पके हुए चावल
🍛	करी–चावल
🍜	भाप वाली बाउल
🍝	स्पैगेटी
🍞	ब्रेड
🍟	फ़्रेंच फ़्राइस
🍠	सिके शकरकंद
🍡	डैंगो
🍢	ओडेन
🍣	सुशी
🍤	तला झींगा
🍥	चक्करदार फ़िश केक
🍦	सॉफ़्ट आइसक्रीम
🍧	पीसी बर्फ़
🍨	आइसक्रीम
🍩	डोनट
🍪	कुकी
🍫	चॉकलेट बार
🍬	कैंडी
🍭	लॉलीपॉप
🍮	कस्टर्ड
🍯	शहद पात्र
🍰	शॉर्टकेक
🍱	बैंटो, बैंटो बॉक्स
🍲	स्ट्यू, भोजन पात्र
🍳	भोजन पकाना
🍴	फ़ोर्क और छुरी–चाकू
🍵	चाय का प्याला, चाय
🍶	सेक, सेक बोतल और कप
🍷	शराब का गिलास
🍸	कॉकटेल गिलास
🍹	ट्रॉपिकल पेय
🍺	बियर, बियर मग
🍻	बियर के दो मग
🍼	बच्चे के दूध की बोतल
🍽	प्लेट के साथ कांटा और छुरी
🍾	कॉक खुलती हुई बोतल
🍿	पॉपकॉर्न
🎀	रिबन
🎁	उपहार, पैक किया हुआ उपहार
🎂	जन्मदिन का केक
🎃	जैक–ओ–लैंटर्न, कंदील
🎄	क्रिसमस ट्री
🎅	सांता क्लाज
🎆	आतिशबाजी, समारोह
🎇	फुलझड़ी, आतिशबाजी
🎈	गुब्बारा
🎉	पार्टी पॉपर
🎊	कॉनफ़ेटी बॉल
🎋	पेड़ और कागज की पट्टियां
🎌	क्रॉस झंडे
🎍	पाइन सजावट, नववर्ष
🎎	जापानी गुड़िया
🎏	कार्प स्ट्रीमर
🎐	विंड चाइम, घंटी
🎑	चांद देखने का उत्सव
🎒	स्कूल का बस्ता
🎓	स्नातक टोप
🎖	सेना का पदक, पदक
🎗	रिमाइंडर रिबन
🎙	स्टूडियो माइक्रोफ़ोन, संगीत
🎚	लेवल स्लाइडर
🎛	नियंत्रक नॉब
🎞	फ़िल्म फ़्रेम
🎟	प्रवेश टिकट, टिकट
🎠	घोड़े वाला झूला
🎡	फ़ेरीज झूला
🎢	रोलर कोस्टर
🎣	मछली पकड़ने की रॉड और मछली
🎤	माइक्रोफ़ोन
🎥	मूवी कैमरा
🎦	सिनेमा, मूवी का चिह्न
🎧	हेडफ़ोन
🎨	रंग पट्टिका, कलाकार पैलेट
🎩	सरटोप
🎪	सर्कस टेंट
🎫	टिकट
🎬	क्लैपर बोर्ड
🎭	प्रदर्शन कला, मुखौटे
🎮	वीडियो गेम, कंट्रोलर
🎯	लक्ष्य पर निशाना
🎰	स्लॉट मशीन
🎱	बिलियर्ड
🎲	पासे, डाइस
🎳	बाउलिंग
🎴	फूल वाला पत्ता
🎵	संगीत के स्वर
🎶	संगीत के स्वर, नोट
🎷	सैक्सोफ़ोन
🎸	गिटार
🎹	संगीत कीबोर्ड
🎺	तुरही
🎻	वायलिन
🎼	संगीत स्कोर
🎽	रनिंग शर्ट
🎾	टेनिस
🎿	स्की, स्की और बूट
🏀	बास्केटबॉल, बास्केटबॉल गेंद
🏁	चौखाने वाला झंडा
🏂	स्नोबोर्डर
🏃	दौड़ता हुआ व्यक्ति
🏄	सर्फ़िंग करता व्यक्ति
🏅	खेल का पदक
🏆	ट्रॉफ़ी, पुरस्कार
🏇	घुड़दौड़
🏈	अमेरिकी फ़ुटबॉल
🏉	रग्बी गेंद
🏊	तैरता हुआ व्यक्ति
🏋	भार उठाता हुआ व्यक्ति
🏌	गोल्फ़ खेलता व्यक्ति
🏍	मोटर साइकिल
🏎	रेसिंग कार
🏏	क्रिकेट
🏐	वॉलीबॉल
🏑	फ़ील्ड हॉकी
🏒	आइस हॉकी स्टिक और पक
🏓	टेबल टेनिस, पिंग पॉंग
🏔	बर्फीले शिखर वाला पर्वत, बर्फ
🏕	तंबू, तंबू लगाना
🏖	छाते के साथ समुद्री किनारा, छाता
🏗	भवन निर्माण
🏘	घर की इमारतें, भवन
🏙	शहर की बनावट
🏚	वीरान घर का भवन, अकेली इमारत
🏛	वरेण्य इमारत का निर्माण
🏜	रेगिस्तान, मरुस्थल
🏝	रेगिस्तान में द्वीप, द्वीप
🏞	बगीचा, उद्यान
🏟	स्टेडियम
🏠	घर, भवन
🏡	बगीचे वाला घर
🏢	कार्यालय का भवन, कार्यालय
🏣	जापानी डाकघर, डाक भवन
🏤	डाकघर, यूरोपीय डाकघर
🏥	अस्पताल
🏦	बैंक, भवन
🏧	ATM का प्रतीक
🏨	होटल, भवन
🏩	प्रेम होटल
🏪	सुविधा स्टोर
🏫	स्कूल
🏬	किराना दुकान
🏭	फ़ैक्टरी, कारखाना
🏮	लाल कंदील, इज़ाकाया
🏯	जापानी किला
🏰	यूरोपीय किला
🏳	सफेद झंडा
🏴	काला झंडा
🏵	पुष्प, रिबन का पुष्प
🏷	लेबल
🏸	बैडमिंटन, रैकेट
🏹	तीर और कमान
🏺	शराब का कंटेनर, जग
🏻	गोरी त्वचा
🏼	हल्की गोरी त्वचा
🏽	गेहुंआ त्वचा
🏾	हल्की सांवली त्वचा
🏿	सांवली त्वचा
🐀	चूहा
🐁	मूषक
🐂	बैल
🐃	भैंस
🐄	गाय
🐅	शेर
🐆	तेंदुआ
🐇	खरगोश
🐈	बिल्ली
🐉	दैत्य
🐊	मगरमच्छ
🐋	ह्वेल
🐌	घोंघा
🐍	सांप
🐎	घोड़ा
🐏	मेष
🐐	बकरी
🐑	भेड़
🐒	बंदर
