©	저작권
⇈	위쪽 화살표 쌍
⇉	오른쪽 화살표 쌍
⇊	아래쪽 화살표 쌍
⇋	오른쪽 외날 화살표 위에 왼쪽 외날 화살표
⇌	왼쪽 외날 화살표 위에 오른쪽 외날 화살표
⇍	사선이 있는 왼쪽 이중 화살표
⇎	사선이 있는 왼쪽 오른쪽 이중 화살표
⇏	사선이 있는 오른쪽 이중 화살표
⇐	왼쪽 이중 화살표
⇑	위쪽 이중 화살표
⇒	오른쪽 이중 화살표
⇓	아래쪽 이중 화살표
⇔	왼쪽 오른쪽 이중 화살표
⇖	북서쪽 이중 화살표
⇗	북동쪽 이중 화살표
⇘	남동쪽 이중 화살표
⇙	남서쪽 이중 화살표
⇚	왼쪽 삼중 화살표
⇛	오른쪽 삼중 화살표
⇜	구부러진 왼쪽 화살표
⇝	구부러진 오른쪽 화살표
⇞	이중 가로선이 있는 위쪽 화살표
⇟	이중 가로선이 있는 아래쪽 화살표
⇠	파선 모양 왼쪽 화살표
⇡	파선 모양 위쪽 화살표
⇢	파선 모양 오른쪽 화살표
⇣	파선 모양 아래쪽 화살표
⇤	세로선이 있는 왼쪽 화살표
⇥	세로선이 있는 오른쪽 화살표
⇦	빈 왼쪽 화살표
⇧	빈 위쪽 화살표
⇨	빈 오른쪽 화살표
⇩	빈 아래쪽 화살표
⇪	가로선이 있는 빈 위쪽 화살표
⇵	아래쪽 화살표 오른쪽에 위쪽 화살표
∀	모든
∂	편미분
∃	존재
∅	공집합
∆	증분
∇	나블라
∈	원소 포함
∉	원소가 아님
∋	원소로 포함
∎	증명 끝
∏	N항 곱
∑	N항 총합
−	빼기 표시
∓	빼기 더하기
∕	나누기 슬래시
∗	별표 연산자
∘	합성 함수
∙	글머리 기호 연산자
√	제곱근
∝	비례함
∞	무한대 기호
∟	직각
∠	각
∣	나누다
∥	평행
∧	논리곱
∩	교집합
∪	합집합
∫	적분
∬	이중 적분
∮	경로 적분
∴	그러므로 기호
∵	왜냐하면 기호
∶	비율
∷	비례
∼	물결표 연산자
∽	역물결표
∾	옆으로 누운 역방향 에스
≃	점근적으로 같음
≅	대략 같음
≈	거의 같음
≌	모두 같음
≒	근사값
≖	등호 안의 고리
≠	같지 않음
≡	등호
≣	절대적 동치
≤	이하
≥	이상
≦	작거나 같음
≧	크거나 같음
≪	훨씬 작음
≫	훨씬 큼
≬	사이
≮	작지 않음
≯	크지 않음
≳	많거나 같음
≺	앞에 옴
≻	뒤에 옴
⊁	뒤에 오지 않음
⊂	부분 집합
⊃	상위 집합
⊆	부분 집합이거나 같음
⊇	상위 집합이거나 같음
⊕	원 안의 더하기
⊖	원 안의 빼기
⊗	원 안의 곱하기
⊘	원 안의 나누기 슬래시
⊙	원 안의 점 연산자
⊚	원 안의 환 연산자
⊛	원 안의 별표 연산자
⊞	사각형 안의 더하기
⊟	사각형 안의 빼기
⊥	위쪽 압정 표시
⊮	적용 안 함
⊰	관계에 따라 앞에 옴
⊱	관계에 따라 뒤에 옴
⊶	원본
⊹	에르미트 켤레 행렬
⊿	직각 삼각형
⋁	N항 논리합
⋂	N항 교집합
⋃	N항 합집합
⋅	점 연산자
⋆	별 연산자
⋈	자연 조인
⋒	이중 교집합
⋘	훨씬 더 작음
⋙	훨씬 더 큼
⋭	정규 부분군이거나 같음으로 포함하지 않음
⋮	세로 줄임표
⋯	중간 가로 줄임표
⋰	오른쪽 위 사선 줄임표
⋱	오른쪽 아래 사선 줄임표
⌚	시계
⌛	시간이 다 된 모래시계
⌨	키보드
⏏	꺼냄 버튼
⏩	빨리 감기
⏪	되감기
⏫	위쪽 화살표
⏬	아래쪽 화살표
⏭	다음 트랙 버튼
⏮	이전 트랙 버튼
⏯	재생 또는 일시 정지 버튼
⏰	알람 시계
⏱	스톱워치
⏲	타이머 시계
⏳	시간이 남은 모래시계
⏸	일시 정지 버튼
⏹	정지 버튼
⏺	녹음 버튼
Ⓜ	원글자 엠
■	검은색 정사각형
□	흰색 정사각형
▢	모서리가 둥근 흰색 정사각형
▣	검은색 사각형을 포함하고 있는 흰색 정사각형
▤	가로선으로 채워진 정사각형
▥	세로선으로 채워진 정사각형
▦	서로 교차하는 가로선과 세로선으로 채워진 정사각형
▧	왼쪽 위에서 오른쪽 아래 방향 대각선으로 채워진 정사각형
▨	오른쪽 위에서 왼쪽 아래 방향 대각선으로 채워진 정사각형
▩	서로 교차하는 대각선으로 채워진 정사각형
▪	작은 검은색 사각형
▫	작은 흰색 사각형
▬	검은색 직사각형
▭	흰색 직사각형
▮	검은색 세로 직사각형
▰	검은색 평행 사변형
▲	검은색 위쪽 삼각형
△	위쪽 방향 흰색 삼각형
▴	위쪽 방향 검은색 삼각형
▵	위쪽 방향 흰색 작은 삼각형
▶	재생 버튼
▷	오른쪽 방향 흰색 삼각형
▸	오른쪽 방향 검은색 작은 삼각형
▹	오른쪽 방향 흰색 작은 삼각형
►	오른쪽 방향 검은색 포인터
▻	오른쪽 방향 흰색 포인터
▼	검은색 아래쪽 삼각형
▽	아래쪽 방향 흰색 삼각형
▾	아래쪽 방향 검은색 작은 삼각형
▿	아래쪽 방향 흰색 작은 삼각형
◀	반대로 버튼
◁	왼쪽 방향 흰색 삼각형
◂	왼쪽 방향 검은색 작은 삼각형
◃	왼쪽 방향 흰색 작은 삼각형
◄	왼쪽 방향 검은색 포인터
◅	왼쪽 방향 흰색 포인터
◆	검은색 다이아몬드
◇	흰색 다이아몬드
◈	검은색 다이아몬드를 포함하고 있는 흰색 다이아몬드
◉	검은색 원을 포함하고 있는 흰색 원
◊	마름모
○	빈 원
◌	점선 테두리 원
◍	세로선으로 채워진 원
◎	동심원
●	채워진 원
◐	왼쪽 절반이 채워진 원
◑	오른쪽 절반이 채워진 원
◒	아래쪽 절반이 채워진 원
◓	위쪽 절반이 채워진 원
◔	오른쪽 위 사분면이 채워진 원
◕	왼쪽 위 사분면을 제외한 모든 면이 채워진 원
◖	왼쪽 절반이 채워진 반원
◗	오른쪽 절반이 채워진 반원
◘	반전 글머리 기호
◙	흰색 원을 포함하고 있는 검은색 정사각형
◜	왼쪽 위 사분면 원호
◝	오른쪽 위 사분면 원호
◞	오른쪽 아래 사분면 원호
◟	왼쪽 아래 사분면 원호
◠	위쪽 반원
◡	아래쪽 반원
◢	오른쪽 아래 검은색 직각삼각형
◣	왼쪽 아래 검은색 직각삼각형
◤	왼쪽 위 검은색 직각삼각형
◥	오른쪽 위 검은색 직각삼각형
◦	빈 글머리 기호
◯	큰 빈 원
◳	오른쪽 위 사분면이 있는 빈 정사각형
◷	오른쪽 위 사분면이 있는 빈 원
◻	중간 흰색 사각형
◼	중간 검은색 사각형
◽	중간 작은 흰색 사각형
◾	중각 작은 검은색 사각형
◿	오른쪽 아래 직각삼각형
☀	태양
☁	구름
☂	우산
☃	눈사람
☄	혜성
☎	전화기
☑	체크박스
☔	빗방울이 있는 우산
☕	뜨거운 음료
☘	토끼풀
☝	위쪽을 가리키는 손
☠	해골과 뼈다귀
☢	방사능
☣	생물학적 위험
☦	전통적인 십자가
☪	초승달과 별
☮	평화 기호
☯	음양
☸	진리의 수레바퀴
☹	찡그린 얼굴
☺	웃는 얼굴
♀	여성 기호
♂	남성 기호
♈	양자리
♉	황소자리
♊	쌍둥이 자리
♋	게자리
♌	사자자리
♍	처녀자리
♎	천칭자리
♏	전갈자리
♐	사수자리
♑	염소자리
♒	물병자리
♓	물고기자리
♟	체스 폰
♠	스페이드
♣	클럽
♥	하트
♦	다이아몬드
♨	온천
♪	팔분음표
♭	내림표
♯	올림표
♻	재활용 표시
♾	무한
♿	휠체어
⚒	망치와 곡괭이
⚓	닻
⚔	쌍검
⚕	의학 기호
⚖	접시저울
⚗	증류기
⚙	톱니바퀴
⚛	원자 기호
⚜	백합 문장
⚠	주의
⚡	고압 주의
⚧	트랜스젠더 기호
⚪	흰색 원
⚫	검은색 원
⚰	관
⚱	납골 단지
⚽	축구공
⚾	야구공
⛄	스노우맨
⛅	구름 뒤의 해
⛈	번개가 치는 비구름
⛎	뱀주인자리
⛏	곡괭이
⛑	흰 십자가가 있는 헬멧
⛓	쇠사슬
⛔	진입 금지
⛩	신토 신사
⛪	교회
⛰	산
⛱	땅에 꽂힌 파라솔
⛲	분수
⛳	골프
⛴	연락선
⛵	돛단배
⛷	스키 타는 사람
⛸	아이스 스케이트
⛹	공을 갖고 있는 사람
⛺	텐트
⛽	주유소
✂	가위
✅	체크 표시
✈	비행기
✉	봉투
✊	주먹
✋	손바닥
✌	브이 표시
✍	글을 쓰고 있는 손
✏	연필
✒	검은색 펜촉
✔	진한 체크 표시
✖	엑스
✝	라틴 십자가
✡	다비드별
✨	블링블링
✳	여덟 갈래 별표
✴	팔각 별
❄	눈송이
❇	반짝임
❌	엑스 표시
❎	초록 상자 안 엑스표
❓	물음표
❔	하얀색 물음표
❕	하얀색 느낌표
❗	느낌표
❣	하트 모양 느낌표
❤	빨간색 하트
➕	더하기
➖	빼기
➗	나누기
➡	우향 화살표
➰	고리
➿	두 개의 고리
⤴	위쪽으로 꺾어지는 우향 화살표
⤵	아래쪽으로 꺾어지는 우향 화살표
⨧	아래 첨자 이가 있는 더하기 기호
⨯	벡터의 외적
⨼	내부곱
⩣	이중 밑줄이 있는 논리합
⩽	기울어진 등호이거나 보다 작음
⪍	유사하거나 같음 위에 보다 작음
⪚	두 줄 등호이거나 보다 큼
⪺	거의 같지 않음 위의 후속
⬅	좌향 화살표
⬆	상향 화살표
⬇	하향 화살표
⬛	큰 검은색 사각형
⬜	큰 흰색 사각형
⭐	중간 크기의 흰색 별
⭕	크고 진한 동그라미
〰	물결표
〽	부분 교체 기호
㊗	원 안의 축하 표의문자
㊙	원 표시된 비밀 표의문자
﷼	리알
🅰	에이형
🅱	비형
🅾	오형
🅿	주차 표시
🆎	에이비형
🆑	씨엘
🆒	쿨
🆓	프리
🆔	아이디
🆕	뉴
🆖	엔지
🆗	오케이
🆘	에스오에스
🆙	위로 버튼
🆚	대
🇨🇶	사크
🈁	일본어 여기 버튼
🈂	일본어 봉사료 버튼
🈚	없을 무
🈯	가리킬 지
🈲	금할 금
🈳	빌 공
🈴	합할 합
🈵	찰 만
🈶	있을 유
🈷	달 월
🈸	거듭 신
🈹	나눌 할
🈺	벼슬 관
🉐	얻을 득
🉑	옳을 가
🀄	마작
🃏	조커
🌀	태풍
🌁	자욱한 안개
🌂	접힌 우산
🌃	밤하늘 별
🌄	산에서 떠오르는 해
🌅	일출
🌆	해질녘
🌇	일몰
🌈	무지개
🌉	밤하늘을 배경으로 하는 다리
🌊	파도
🌋	화산
🌌	은하수
🌍	유럽과 아프리카가 보이는 지구
🌎	미국이 보이는 지구
🌏	아시아와 호주가 보이는 지구
🌐	지구
🌑	초생달
🌒	초승달 상현
🌓	오른쪽 반달
🌔	상현달
🌕	보름달
🌖	하현달
🌗	왼쪽 반달
🌘	초승달 하현
🌙	초승달
🌚	달
🌛	얼굴이 있는 초승달
🌜	그믐달
🌝	얼굴이 있는 보름달
🌞	얼굴이 있는 해
🌟	별
🌠	별똥별
🌡	온도계
🌤	작은 구름 뒤의 태양
🌥	큰 구름 뒤의 태양
🌦	비구름 뒤의 태양
🌧	비구름
🌨	눈구름
🌩	번개구름
🌪	토네이도
🌫	안개
🌬	바람 얼굴
🌭	핫도그
🌮	타코
🌯	부리또
🌰	밤
🌱	새싹
🌲	소나무
🌳	나무
🌴	야자수
🌵	선인장
🌶	홍고추
🌷	튤립
🌸	벚꽃
🌹	장미꽃
🌺	무궁화
🌻	해바라기
🌼	꽃송이
🌽	옥수수
🌾	벼
🌿	풀
🍀	네잎클로버
🍁	단풍잎
🍂	낙엽
🍃	바람에 흔들리는 나뭇잎
🍄	버섯
🍅	토마토
🍆	가지
🍇	포도
🍈	멜론
🍉	수박
🍊	귤
🍋	레몬
🍌	바나나
🍍	파인애플
🍎	빨간 사과
🍏	초록 사과
🍐	배
🍑	복숭아
🍒	체리
🍓	딸기
🍔	햄버거
🍕	피자
🍖	고기
🍗	닭다리
🍘	주먹밥
🍙	삼각 김밥
🍚	밥
🍛	카레라이스
🍜	국수
🍝	스파게티
🍞	빵
🍟	감자튀김
🍠	고구마
🍡	떡꼬치
🍢	오뎅
🍣	초밥
🍤	새우튀김
🍥	어묵
🍦	소프트 아이스크림
🍧	샤베트 아이스크림
🍨	아이스크림
🍩	도넛
🍪	쿠키
🍫	초콜렛
🍬	사탕
🍭	롤리팝
🍮	커스타드 푸딩
🍯	꿀
🍰	쇼트케이크
🍱	도시락
🍲	국
🍳	프라이팬
🍴	식당
🍵	차
🍶	사케
🍷	와인
🍸	칵테일
🍹	음료수
🍺	맥주잔
🍻	맥주
🍼	젖병
🍽	포크와 나이프가 있는 접시
🍾	코르크가 튀어나오고 있는 병
🍿	팝콘
🎀	리본
🎁	선물
🎂	생일 케이크
🎃	할로윈
🎄	크리스마스 트리
🎅	산타클로스
🎆	불꽃놀이
🎇	불꽃
🎈	풍선
🎉	파티
🎊	박 터트리기
🎋	소원 쪽지
🎌	엇갈린 일본 국기
🎍	일본 장식
🎎	일본 인형
🎏	물고기 깃발
🎐	풍경
🎑	달맞이
🎒	학교 가방
🎓	졸업 모자
🎖	무공 훈장
🎗	추모 리본
🎙	스튜디오 마이크
🎚	레벨 슬라이더
🎛	컨트롤 레버
🎞	영화 프레임
🎟	입장 티켓
🎠	회전 목마
🎡	관람차
🎢	롤러코스터
🎣	낚싯대
🎤	마이크
🎥	영화 카메라
🎦	영화
🎧	헤드폰
🎨	팔레트
🎩	마술사 모자
🎪	서커스
🎫	티켓
🎬	슬레이트
🎭	가면
🎮	비디오 게임
🎯	과녁 명중
🎰	슬롯 머신
🎱	당구
🎲	주사위
🎳	볼링
🎴	화투
🎵	음표
🎶	노래 음표
🎷	색소폰
🎸	기타
🎹	피아노
🎺	트럼펫
🎻	바이올린
🎼	높은음자리표
🎽	러닝 셔츠
🎾	테니스
🎿	스키
🏀	농구
🏁	격자 무늬 깃발
🏂	스노보드 타는 사람
🏃	뛰는 사람
🏄	서핑하는 사람
🏅	스포츠 메달
🏆	트로피
🏇	승마
🏈	미식축구공
🏉	럭비공
🏊	수영하는 사람
🏋	역도 선수
🏌	골프치는 사람
🏍	오토바이
🏎	경주용 자동차
🏏	크리켓
🏐	배구공
🏑	필드 하키
🏒	아이스 하키와 퍽
🏓	탁구
🏔	눈 덮인 산
🏕	캠핑
🏖	파라솔이 있는 해변
🏗	건물 공사
🏘	주택 건물
🏙	도시 전경
🏚	낡은 주택 건물
🏛	고전 양식의 건축물
🏜	사막
🏝	사막 섬
🏞	국립공원
🏟	경기장
🏠	집
🏡	정원이 있는 집
🏢	사무실
🏣	일본 우체국
🏤	우체국
🏥	병원
🏦	은행
🏧	에이티엠
🏨	호텔
🏩	모텔
🏪	편의점
🏫	학교
🏬	백화점
🏭	공장
🏮	일본식 등
🏯	일본 성
🏰	유럽 성
🏳	펄럭이는 흰색 깃발
🏴	펄럭이는 검은색 깃발
🏵	장미
🏷	라벨
🏸	배드민턴
🏹	활과 화살
🏺	암포라
🏻	하얀 피부
🏼	연한 갈색 피부
🏽	갈색 피부
🏾	진한 갈색 피부
🏿	검은색 피부
🐀	쥐
🐁	생쥐
🐂	소
🐃	물소
🐄	젖소
🐅	호랑이
🐆	표범
🐇	토끼
🐈	고양이
🐉	용
🐊	악어
🐋	고래
🐌	달팽이
🐍	뱀
🐎	말
🐏	숫양
🐐	염소
🐑	양
🐒	원숭이
🐓	수탉
🐔	닭
🐕	개
🐖	돼지
🐗	멧돼지
🐘	코끼리
🐙	문어
🐚	달팽이집
🐛	송충이
🐜	개미
🐝	꿀벌
🐞	무당벌레
🐟	물고기
🐠	열대어
🐡	복어
🐢	거북이
🐣	알에서 깬 병아리
🐤	병아리
🐥	정면을 향해 날개를 편 병아리
🐦	새
🐧	펭귄
🐨	코알라
🐩	푸들
🐪	낙타
🐫	쌍봉 낙타
🐬	돌고래
🐭	쥐 얼굴
🐮	소 얼굴
🐯	호랑이 얼굴
🐰	토끼 얼굴
🐱	고양이 얼굴
🐲	용 얼굴
🐳	물뿜는 고래
🐴	말 얼굴
🐵	원숭이 얼굴
🐶	강아지 얼굴
🐷	돼지 얼굴
🐸	개구리 얼굴
🐹	햄스터 얼굴
🐺	늑대 얼굴
🐻	곰 얼굴
🐼	판다 얼굴
🐽	돼지코
🐾	곰발바닥
🐿	얼룩다람쥐
👀	왕눈이 눈알
👁	눈
👂	귀
👃	코
👄	입
👅	혀
👆	위쪽을 가리키는 손등
👇	아래쪽을 가리키는 손등
👈	왼쪽을 가리키는 손등
👉	오른쪽을 가리키는 손등
👊	주먹 전면
👋	흔드는 손
👌	오케이를 표시한 손
👍	올린 엄지
👎	내린 엄지
👏	손뼉
👐	양손을 모아서 벌린 모양
👑	왕관
👒	여성용 모자
👓	안경
👔	넥타이
👕	티셔츠
👖	바지
👗	원피스
👘	기모노
👙	비키니
👚	여성복
👛	지갑
👜	핸드백
👝	파우치
👞	남성용 구두
👟	운동화
👠	하이힐
👡	샌들
👢	부츠
👣	발자국
👤	사람 그림자
👥	사람들 그림자
👦	남자 아이
👧	여자 아이
👨	남자
👩	여자
👪	가족
👫	손을 잡고 있는 남녀
👬	손을 잡고 있는 두 명의 남자
👭	손을 잡고 있는 두 명의 여자
👮	경찰관
👯	토끼 귀를 쓰고 춤추는 사람들
👰	면사포를 쓴 신부
👱	금발인 사람
👲	중국 전통 모자를 쓰고 있는 남자
👳	터번을 쓰고 있는 사람
👴	할아버지
👵	할머니
👶	아기
👷	건설 노동자
👸	공주
👹	도깨비 가면
👺	코주부 도깨비 가면
👻	유령
👼	아기 천사
👽	외계인
👾	에일리언
👿	머리에 뿔이 달린 화난 얼굴
💀	해골
💁	손바닥 꺾은 사람
💂	근위병
💃	댄서
💄	립스틱
💅	매니큐어
💆	마사지 받는 사람
💇	헤어컷
💈	이발소
💉	주사기
💊	알약
💋	입술
💌	러브레터
💍	반지
💎	원석
💏	키스
💐	꽃다발
💑	연인
💒	결혼식
💓	두근거리는 하트
💔	깨진 하트
💕	하트 두 개
💖	빛나는 하트
💗	커지는 하트
💘	화살이 꽂힌 하트
💙	파란색 하트
💚	초록색 하트
💛	노란색 하트
💜	보라색 하트
💝	리본 달린 하트
💞	회전하는 하트
💟	하트 장식
💠	점이 찍힌 다이아몬드 모양
💡	전구
💢	화남
💣	폭탄
💤	졸림
💥	충돌
💦	땀
💧	물방울
💨	달려나감
💩	똥
💪	알통
💫	어지러움
💬	말풍선
💭	생각 풍선
💮	흰 꽃
💯	백점
💰	돈주머니
💱	환전
💲	미국 달러
💳	신용카드
💴	엔
💵	달러
💶	유로
💷	파운드
💸	날개 달린 돈
💹	엔화 관련 상승하는 그래프
💺	좌석
💻	노트북
💼	서류 가방
💽	엠디
💾	플로피 디스크
💿	씨디
📀	디비디
📁	폴더
📂	폴더 열기
📃	안으로 말린 문서
📄	오른쪽 모서리가 접힌 문서
📅	달력
📆	뜯어진 달력
📇	카드 인덱스
📈	상승하는 그래프
📉	내려가는 그래프
📊	막대 그래프
📋	클립보드
📌	압정
📍	둥근 머리 핀
📎	클립
📏	자
📐	삼각자
📑	북마크 탭
📒	노트
📓	공책
📔	표지가 있는 노트
📕	펼치지 않은 책
📖	펼쳐진 책
📗	초록색 책
📘	파란색 책
📙	주황색 책
📚	책 여러 권
📛	이름표
📜	문서
📝	메모
📞	수화기
📟	삐삐
📠	팩스
📡	위성 안테나
📢	확성기
📣	메가폰
📤	보낸 편지함
📥	받은 편지함
📦	소포
📧	이메일
📨	받은 편지
📩	보낸 편지
📪	표지가 내려간 닫힌 우편함
📫	표지가 올라간 닫힌 우편함
📬	표지가 올라간 열린 우편함
📭	표지가 내려간 열린 우편함
📮	우편함
📯	호른
📰	신문
📱	휴대전화
📲	왼쪽에 화살표가 있는 휴대전화
📳	진동 모드
📴	휴대전화 끄기
📵	휴대전화 사용금지
📶	안테나 신호
📷	카메라
📸	플래시를 터트리고 있는 카메라
📹	캠코더
📺	텔레비전
📻	라디오
📼	비디오테이프
📽	영화 프로젝터
📿	묵주
🔀	랜덤 재생
🔁	전곡 반복 재생
🔂	한 곡 반복 재생
🔃	시계 방향 화살표
🔄	반시계 방향 화살표
🔅	밝기 낮음
🔆	밝기 높음
🔇	무음
🔈	스피커
🔉	스피커 소리 작게
🔊	스피커 소리 크게
🔋	배터리
🔌	전기 플러그
🔍	왼쪽으로 향한 돋보기
🔎	오른쪽으로 향한 돋보기
🔏	자물쇠와 펜
🔐	자물쇠와 열쇠
🔑	열쇠
🔒	자물쇠
🔓	열린 자물쇠
🔔	종
🔕	음소거
🔖	북마크
🔗	링크
🔘	라디오 버튼
🔙	뒤로
🔚	종료
🔛	켜짐
🔜	곧
🔝	위로 화살표
🔞	성인용
🔟	숫자 십 키
🔠	대문자
🔡	소문자
🔢	숫자
🔣	기호
🔤	라틴어 알파벳
🔥	불
🔦	손전등
🔧	렌치
🔨	망치
🔩	볼트와 너트
🔪	식칼
🔫	총
🔬	현미경
🔭	망원경
🔮	수정 구슬
🔯	육각 별
🔰	노란색 초록색 이파리 모양
🔱	삼지창
🔲	테두리가 검은 사각 버튼
🔳	테두리가 하얀 사각 버튼
🔴	빨간 원
🔵	파란 원
🔶	큰 주황색 마름모
🔷	큰 파란색 마름모
🔸	작은 주황색 마름모
🔹	작은 파란색 마름모
🔺	빨간색 위쪽 삼각형
🔻	빨간색 아래쪽 삼각형
🔼	위쪽 삼각형
🔽	아래쪽 삼각형
🕉	옴
🕊	비둘기
🕋	카바
🕌	모스크
🕍	시나고그
🕎	메노라
🕐	한 시
🕑	두 시
🕒	세 시
🕓	네 시
🕔	다섯 시
🕕	여섯 시
🕖	일곱 시
🕗	여덟 시
🕘	아홉 시
🕙	열 시
🕚	열한 시
🕛	열두 시
🕜	한 시 반
🕝	두 시 반
🕞	세 시 반
🕟	네 시 반
🕠	다섯 시 반
🕡	여섯 시 반
🕢	일곱 시 반
🕣	여덟 시 반
🕤	아홉 시 반
🕥	열 시 반
🕦	열한 시 반
🕧	열두 시 반
🕯	양초
🕰	벽난로 선반 시계
🕳	구멍
🕴	공중에 떠 있는 정장 입은 남자
🕵	탐정
🕶	선글라스
🕷	거미
🕸	거미줄
🕹	조이스틱
🕺	춤추는 남자
🖇	이어져 있는 클립
🖊	펜
🖋	만년필
🖌	붓
🖍	크레용
🖐	쫙 편 손바닥
🖕	중지
🖖	벌칸식 인사
🖤	검은색 하트
🖥	데스크톱 컴퓨터
🖨	프린터
🖱	컴퓨터 마우스
🖲	트랙볼
🖼	그림 액자
🗂	카드 색인 파일
🗃	카드 파일 상자
🗄	파일 보관 서랍장
🗑	쓰레기통
🗒	스프링 노트
🗓	스프링 달력
🗜	압축기
🗝	오래된 열쇠
🗞	돌돌 말린 신문
🗡	단검
🗣	말하고 있는 옆얼굴
🗨	왼쪽 말풍선
🗯	화난 표현의 오른쪽 말풍선
🗳	투표 용지가 있는 투표 상자
🗺	세계 지도
🗻	후지산
🗼	도쿄 타워
🗽	자유의 여신상
🗾	일본 지도
🗿	모아이
😀	활짝 웃는 얼굴
😁	미소 짓는 눈으로 웃는 얼굴
😂	기쁨의 눈물을 흘리는 얼굴
😃	눈을 크게 뜨고 웃는 얼굴
😄	미소 짓는 눈으로 활짝 웃는 얼굴
😅	땀 흘리며 웃는 얼굴
😆	눈웃음짓는 얼굴
😇	후광이 비치는 웃는 얼굴
😈	머리에 뿔이 달린 웃는 얼굴
😉	윙크하는 얼굴
😊	미소 짓는 눈으로 살짝 웃는 얼굴
😋	맛있는 음식을 음미하는 얼굴
😌	안심한 얼굴
😍	하트 눈 얼굴
😎	선글라스 낀 얼굴
😏	히죽거리는 얼굴
😐	덤덤한 얼굴
😑	무표정한 얼굴
😒	지루해하는 얼굴
😓	식은땀 흘리는 얼굴
😔	수심 어린 얼굴
😕	혼란스러워하는 얼굴
😖	당혹한 얼굴
😗	키스하는 얼굴
😘	키스를 보내는 얼굴
😙	미소 짓는 눈으로 키스하는 얼굴
😚	눈을 감은 채로 키스하는 얼굴
😛	혀를 내민 얼굴
😜	윙크하면서 혀를 내민 얼굴
😝	눈을 감고 메롱하는 얼굴
😞	실망한 얼굴
😟	걱정스러운 얼굴
😠	화난 얼굴
😡	뾰로통한 얼굴
😢	우는 얼굴
😣	참아내는 얼굴
😤	화내며 씩씩거리는 얼굴
😥	실망했지만 안도하는 얼굴
😦	입 벌리고 찌푸린 얼굴
😧	괴로워하는 얼굴
😨	두려워하는 얼굴
😩	지친 얼굴
😪	졸린 얼굴
😫	피곤한 얼굴
😬	찌푸린 얼굴
